ULVERSTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD284787,Long,-3.0986,Lat,54.1995,Elevation,131,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,,,,,,3.96,5.15,7.29,6.1,3.34,5.76,4.94,2.63,9.52,5.68,5.39,7.91,2.76,9.85,5.53,
February,,,,,,,,4.2,0.22,,,,,,3.35,4.5,4.72,3.59,4.68,6.5,2.3,5.17,5.41,1.24,3.3,1.5,5.19,5.01,3.32,
March,,,,,,,,3.57,3.19,,,,,,5.05,2.73,3.87,2.06,7.39,1.35,2.65,2.29,5.22,4.84,3.77,1.31,4.3,4.96,2.34,
April,,,,,,,,,,,,,,,2.54,0.88,1.48,5.13,3.35,3.16,2.2,4.32,1.73,0.52,1.31,1.52,3.3,3.1,2.51,
May,,,,,,,,3.22,,,,,,,2.31,5.86,1.66,2.66,2.33,3.09,3.07,1.6,1.99,2.53,1.83,2.5,0.33,4,3.87,
June,,,,,,,,4.55,,,,,,,4.75,0.79,3.36,2.15,0.88,2.03,1.9,3.83,5.88,3.18,1.08,4.77,4.3,2.53,3.77,
July,,,,,,,,,,,,,,,3.5,3.22,2.99,5.51,0.63,1.86,1.61,5.08,5.26,4.99,2.86,3.03,4.01,5.81,1.01,
August,,,,,,,5.55,2.41,,,,,,,4.96,5.66,7.29,4,6.07,3.93,2.19,3.16,4.46,6.35,9.32,4.32,4.07,5.73,8.3,
September,,,3.89,2.97,,,2.93,3.91,,,,,,,5.05,2.07,9.16,4.88,3.05,8.72,3.69,3.45,8.84,2.91,5.75,7.52,5.27,3.24,5.27,
October,,,,5.46,,,3.16,,,,,,,,3.17,7.43,3.09,6.8,6.8,3.56,11.79,6.97,7.06,7.54,8.99,6.73,3.9,9.95,5.9,
November,,,,4.23,,,3.26,,,,,,,,5.28,4.41,7.49,2.1,4.95,7.49,3.84,3.27,4.84,3.91,6.67,7.59,3.65,11.04,3.34,
December,,,,,,,,,,,,,,,5.1,2.81,6.46,4.74,10.41,5.08,3.5,5.96,4.92,2.44,4.18,3.08,8.05,7.61,3.06,
Total,,,,,,,,,,,,,,,49.02,45.51,58.86,49.72,53.88,52.53,43.68,47.73,65.13,46.13,54.45,51.78,49.13,72.83,48.22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1871 Observer, J.H. Matthews lived at Morecombe Villa, sun Street, Ulverston so NGR given for there.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
