"FORT WILLIAM, Pine Grove",,,,,,,,,,,
Grid ref,NN101735,Long,-5.112683,Lat,56.814114,Elevation,280,ft,,,
Station no,5751,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,8.83,10.38,12.25,13.84,16.75,,
February,,,,,2.82,8.27,6.8,4.14,10.4,,
March,,,,,0.53,4.24,11.12,4.86,6.03,,
April,,,,,3.26,8.32,4.49,9.43,4.19,,
May,,,,,3.86,9.42,3.08,3.11,,,
June,,,,3.96,4.94,1.83,3.29,5.71,,,
July,,,,8.63,8.58,2.7,5.12,4.07,,,
August,,,,8.93,6.38,4.38,7.25,7.05,,,
September,,,,10.9,8.98,3.67,8.05,7.51,,,
October,,,,14.08,5.42,6.66,5.7,7.53,,,
November,,,,6.59,6.08,2.13,8.73,8.31,,,
December,,,,6.86,15.13,8.52,6.29,0.48,,,
Total,,,,,74.81,70.52,82.17,76.04,,,
,,,,,,,,,,,
216 ft from Glasdrum,,,,,,,,,,,
