"KIRRIEMUIR LINTRATHEN LONGDRUM",,,,,,,,,,,,
Grid ref,NO281614,Long,-3.176968,Lat,56.738679,,,,,,,
Station no,5583,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.50,,4.20,4.10,2.40,1.80,3.40,2.70,,,,
February,6.00,5.00,1.80,4.70,5.00,1.80,2.40,2.20,,,,
March,2.00,2.90,2.10,5.50,1.90,5.90,2.10,2.50,,,,
April,2.30,3.50,3.30,2.90,3.90,3.20,1.60,3.70,,,,
May,3.40,3.10,2.20,1.70,2.40,2.60,5.50,4.20,,,,
June,4.00,1.30,1.90,2.60,2.10,2.40,1.80,6.50,,,,
July,2.80,2.00,3.70,4.50,2.50,2.40,2.10,2.30,,,,
August,4.40,5.20,3.40,4.10,6.00,4.30,4.90,4.20,,,,
September,2.70,2.50,3.00,4.20,2.80,2.70,1.60,1.40,,,,
October,3.70,3.40,1.80,8.50,2.20,3.20,5.00,5.30,,,,
November,4.70,1.20,4.20,1.80,1.60,8.30,5.50,3.00,,,,
December,4.20,,6.60,5.70,2.80,3.70,2.00,4.80,,,,
Total,44.70,,38.20,50.30,35.60,42.30,37.90,42.80,,,,
Calc annual,44.70,30.10,38.20,50.30,35.60,42.30,37.90,42.80,0.00,0.00,,
Difference,-0.00,NaN,0.00,-0.00,0.00,0.00,-0.00,0.00,NaN,NaN,,
