TALGARTH-DAN-Y-GARTH-ARFRYN,,,,,,,,,,,,,,,,,,,,
Grid ref,SO153335,Long,-3.2350021,Lat,51.993464,Elevation,450,ft.,,,,,,,,,,,,
Station no,4207,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.81,3.29,3.93,2.53,4.41,7.01,5.14,4.95,2.55,3.2,3.21,6.68,2.91,1.78,3.73,3.19,,,
February,,0.26,3.96,0.38,3.19,2.36,5.21,1.16,3.47,2.41,3.8,0.2,2.36,0.88,2.68,3.75,2.34,,,
March,,2.26,2.74,2.99,0.75,2.98,4.05,0.14,1.71,2.14,4,2.32,0.48,0.3,0.81,1.1,6.39,,,
April,,5.2,0.51,3.12,3.22,2.79,2.53,0.3,2.95,3.15,0.76,1.68,1.04,1.07,1.13,1.68,3.28,,,
May,,5,1.71,1.62,0.92,1.84,1.15,2.33,0.45,2.26,2.64,3.9,3.35,1.22,3.31,3.38,3.08,,,
June,,1.08,4.02,0.84,3.73,2.88,1.54,1.72,1.65,0.85,1.67,0.15,2.79,1.77,3.04,2.29,1.61,,,
July,2.94,2.56,2.23,1.48,0.55,6.01,3.74,2.61,6.55,3.27,3.23,1.94,1.62,1.92,2.55,1.46,1.51,,,
August,3.24,1.9,0.68,2.53,1.42,0.42,1.55,3.91,2.07,0.16,5.03,3.58,2.22,2.87,3.75,5.75,0.45,,,
September,1.71,2.75,2.27,2.21,3.77,2.37,2.81,1.22,0.86,1.22,1.4,1.81,3.39,2.59,2.18,5.02,1.47,,,
October,0.93,7.15,6.45,2.7,3.64,2.06,3.86,4.4,3.59,4.68,2.03,2.55,3.41,4.58,6.37,0.9,0.6,,,
November,7.16,2.27,0.69,2.35,5.75,3.55,1.71,4.9,6.45,8.13,2.65,0.88,2.07,4.94,0.27,7.24,2.6,,,
December,0.8,1.84,1.3,4.33,3.66,5.33,2.93,3.68,1.67,2.17,1.94,5.12,1.56,2.44,4.92,3.49,2.92,,,
Total,,37.08,29.85,28.48,33.13,37,38.09,31.51,36.37,32.99,32.35,27.34,30.97,27.49,32.79,39.79,29.44,,,
,,,,,,,,,,,,,,,,,,,,
NGR is from 1940s record. Altitudes match but cannot confirm Arfryn location. Gauge moved 1 Jan 1948 to Maescoch about 550m SW,,,,,,,,,,,,,,,,,,,,
