TALGARTH-DAN-Y-GARTH-BELL -ST,,,,,,,,,,,,,,,,,,,,
Grid ref,SO154337,Long,-3.2335955,Lat,51.995277,Elevation,421,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,5.27,3.55,2.79,1.44,4.29,4.39,1.28,5.25,2.08,1.3,1.94
February,,,,,,,,,,4.34,6.12,1.49,1.2,2.96,5.01,1.31,2.61,1.6,1.63,0.71
March,,,,,,,,,,1.09,1.67,3.96,1.67,5.92,2.39,4.7,2,1.14,4.06,3.31
April,,,,,,,,,,3.2,1.2,3.11,2.19,1.94,1.44,3.86,0.9,4.17,2.48,3.11
May,,,,,,,,,,2.14,3.1,0.97,2.41,3.41,1.65,0.2,2.07,3.45,2.39,1.22
June,,,,,,,,,,2.19,2.21,2.57,3.29,3.24,1.01,2.13,2.5,3.17,1.37,3.56
July,,,,,,,,,,0.32,2.19,2,1.13,2.54,2.72,0.63,0.66,3.05,2.74,2.35
August,,,,,,,,,,1.4,4.1,2.15,1.53,4.24,2.27,4.92,2.26,2.43,3.67,1.1
September,,,,,,,,,,2.33,0.81,2.45,2.23,4.7,1.72,1.94,0.89,0.68,2.19,3.02
October,,,,,,,,,,3.96,5.03,2.79,2.78,7.43,1.23,1.59,4.41,8.55,2.49,6.04
November,,,,,,,,,,3.26,3.5,1.47,3.73,1.89,2.21,2.63,4.64,2.61,2.19,1.54
December,,,,,,,,,,3.21,6.3,6.57,2.62,3.55,3.05,0.77,2.56,3.71,3.72,6.69
Total,,,,,,,,,,32.71,39.78,32.32,26.22,46.11,29.09,25.96,30.75,36.64,30.23,34.59
,,,,,,,,,,,,,,,,,,,,
"NGR is Bell St. Altitudes match. Gauge moved 1 Jan 1910 to Dan-y-Garth, about 350m N.",,,,,,,,,,,,,,,,,,,,
