SANDOWN-BELGRAVE-HOUSE-(LAKE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ591837,Long,-1.1649,Lat,50.6504,Elevation,105,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,2.92,0.94,1.09,2.68,3.29,0.65,2.6,5.45,4.2,1.01,2.96,0.68,4.28,5.23,1.26,,,,,,,,
February,,,,,,,,1.03,1.01,1.48,1.11,0.05,1.82,3.69,3.83,0.12,0.23,3.62,2.96,4.16,6.34,1.8,,,,,,,,
March,,,,,,,,0.92,3.94,2.22,1.31,2.68,1.13,0.46,1.83,2.54,3.78,5.61,0.53,0.99,1.33,2.95,,,,,,,,
April,,,,,,,,1.09,1.25,1.39,2.8,0.78,1.36,0.05,2.21,2.51,0.6,2.53,2.51,2.99,1.67,2.85,,,,,,,,
May,,,,,,,,1.08,1.67,2.39,2.58,2.06,0.91,1,1.88,0.16,0.34,2.19,4.38,1.63,1.51,0.35,,,,,,,,
June,,,,,,,,0.89,1.78,0.17,1.69,2.11,1.66,1.31,1.77,0.55,1.62,3.03,2.28,1.36,3.52,2.93,,,,,,,,
July,,,,,,,,1.05,5.48,1.89,3.73,2.62,1.53,5.7,5.05,5.2,1.12,0.35,0.18,0.64,1.1,2.9,,,,,,,,
August,,,,,,,,2.21,2.47,2.2,3.34,6.96,3.24,0.48,2.84,3.15,1.78,3.13,2.7,0.52,2.82,1.3,,,,,,,,
September,,,,,,,,3.29,0.58,0.66,0.87,0.84,3.22,2.72,3.26,0.33,8.76,2.42,1.34,3.88,1.31,3.15,,,,,,,,
October,,,,,,,,1.19,2.7,8.13,1.24,7.73,4.92,6.38,5.71,4.66,4.47,0.35,4.99,2.77,2.86,3.47,,,,,,,,
November,,,,,,,,4.16,4.75,1.34,3.35,3.77,3.9,2.38,5.74,6.51,0.95,1.89,5.73,5.66,4.09,0.68,,,,,,,,
December,,,,,,,,3.49,2.12,1.93,0.98,4.59,2.91,3.19,2.8,3.91,4.84,4.54,4.43,1.91,4.83,4.34,,,,,,,,
Total,,,,,,,,23.32,28.69,24.89,25.68,37.48,27.25,29.96,42.37,33.84,29.5,32.62,32.71,30.79,36.61,27.98,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 Jan Gauge moved a few hundred yards to Lake Hill due to growth of trees and shrubs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887 Altitude given as 85?ft ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889 Altitude reverts to 105 although it does change to 110 and back to 105 several times but no mention of moves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown whether this was gauge moving back up Lake Hill – altitude correction – or gauge moving back to Belgrave House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be at 85ft it would have been the other side of a steep hill from Belgrave House (138ft) past the military barracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890 sheet called Lake but 1900 sheet called Belgrave House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
