LEEK (STONEYCLIFF),,,,,,,,,,,,
Grid ref,SK019601,Long,-1.973053,Lat,53.138050,,,,,,,
Station no,2373/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.60,3.70,3.15,6.40,,
February,,,,,,,2.95,6.90,0.85,2.70,,
March,,,,,,,4.15,2.25,2.50,1.90,,
April,,,,,,,0.36,1.65,3.10,2.10,,
May,,,,,,,1.65,4.55,1.05,2.25,,
June,,,,,,,2.50,6.00,1.95,2.30,,
July,,,,,,6.90,5.60,5.85,2.65,5.56,,
August,,,,,,9.30,6.35,3.05,0.60,5.45,,
September,,,,,,3.55,8.95,6.00,0.25,4.90,,
October,,,,,,3.20,3.35,4.70,3.55,7.20,,
November,,,,,,1.85,2.25,1.80,5.60,6.00,,
December,,,,,,5.60,4.10,4.60,7.05,4.50,,
Total,,,,,,,44.81,51.05,32.30,51.26,,
Calc annual,0.00,0.00,0.00,0.00,0.00,30.40,44.81,51.05,32.30,51.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,,
