"NEWBROUGH, HEXHAM",,,,,,,,,,
Grid ref,NY874682,Long,-2.1977511,Lat,55.00867,Elevation,295,ft,,
Station no,RR4480,,,,,,,,,
,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829
January,,,,,0.96,,,,,
February,,,,,0.98,,,,,
March,,,,,1.69,,,,,
April,,,,,0.84,,,,,
May,,,,,1.19,,,,,
June,,,,,1.35,,,,,
July,,,,,1.31,,,,,
August,,,,,1.72,,,,,
September,,,,,2.61,,,,,
October,,,,,2.43,,,,,
November,,,,,4.11,,,,,
December,,,,,4.78,,,,,
Total,,27.41,26.98,23.54,23.97,,,,,
,,,,,,,,,,
"The Observer, Rev. Wastell, lived at Newbrough Hall from 1811 when the estate passed, by due descent, to him from his great grandfather, John Bacon.",,,,,,,,,,
