TOPSHAM-NEWCOURT-ROAD,,,,,,,,,,
Grid ref,SX962893,Long,-3.470982,Lat,50.694055,Elevation,52,ft,,
Station no,1768/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.72,4.19,3.66
February,,,,,,,,3.03,0.3,4.42
March,,,,,,,,1.56,4.91,2.31
April,,,,,,,,0.33,3.02,3.15
May,,,,,,,,2.63,1.13,1.74
June,,,,,,,,3.48,1.16,0.81
July,,,,,,,,2.24,2.21,3.58
August,,,,,,,,3.05,2.25,3.59
September,,,,,,,,3.3,0.69,8.28
October,,,,,,,,3.33,3.16,11.96
November,,,,,,,,2.75,7.95,4
December,,,,,,,,4.7,6.81,3.35
Total,,,,,,,,34.12,37.78,50.85
,,,,,,,,,,
Observer formerly at Stn No 1770/4 Heavitree Recommenced after National Service,,,,,,,,,,
Exact house unknown but NGR on sheet is Newcourt Rd and matches elevation,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Topsham SRC_ID 8318,,,,,,,,,,
1958-1964,,,,,,,,,,
