Rainfall at,CHATSWORTH GARDENS
,
Station no,2675,
,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.26,0.39,5.18,6.70,5.64,,,,,,
February,4.66,6.75,3.54,4.55,4.50,,,,,,
March,2.63,4.83,2.28,1.40,3.43,,,,,,
April,1.70,1.17,5.36,3.14,2.49,,,,,,
May,3.40,3.10,1.94,1.58,1.78,,,,,,
June,3.02,2.45,5.48,3.50,1.24,,,,,,
July,5.24,2.17,4.26,3.26,3.04,,,,,,
August,3.25,6.34,3.11,1.61,1.83,,,,,,
September,6.28,2.31,2.81,5.69,3.06,,,,,,
October,11.20,8.21,6.85,4.00,2.50,,,,,,
November,3.30,5.05,7.24,4.02,1.52,,,,,,
December,5.07,4.17,7.55,3.24,2.40,,,,,,
Total,50.01,46.94,55.60,42.69,33.43,,,,,,
Calc annual,50.01,46.94,55.60,42.69,33.43,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,
