WEASENHAM-LITCHAM,,,,,,,,,,,,,,,,,,,,
Grid ref,TF887177,Long,0.79277635,Lat,52.724024,Elevation,190,ft,,,,,,,,,,,,
Station no,RR8027,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,2.1,2.41,1.35,,,,,,,,,
February,,,,,,,,,1.6,2.11,0.95,,,,,,,,,
March,,,,,,,,,2.15,2.6,1.7,,,,,,,,,
April,,,,,,,,,1.95,1.48,0.87,,,,,,,,,
May,,,,,,,,,0.42,2.87,0.85,,,,,,,,,
June,,,,,,,,,0.22,1.41,2.55,,,,,,,,,
July,,,,,,,,,0.08,0.59,1.46,,,,,,,,,
August,,,,,,,,,2.11,2.02,2.22,,,,,,,,,
September,,,,,,,,,4.05,3.35,1.72,,,,,,,,,
October,,,,,,,,,2.7,2.54,4.49,,,,,,,,,
November,,,,,,,,,1.5,,2.03,,,,,,,,,
December,,,,,,,,,5.05,4.7,2.9,,,,,,,,,
Total,,,,,,,,,23.93,,23.09,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note on TYR: 1870 thought to be half and inch short compared to surrounding stations,,,,,,,,,,,,,,,,,,,,
