ELLERAY,,,,,,,,,,
Grid ref,SD411989,Long,-2.9083749,Lat,54.38217,Elevation,420,ft,,
Station no,RR7686,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,6.4,,,,,,,,
February,,7.3,,,,,,,,
March,,6.33,,,,,,,,
April,,3.99,,,,,,,,
May,,6.26,,,,,,,,
June,,2.96,,,,,,,,
July,-999,3.82,,,,,,,,
August,-999,7.57,,,,,,,,
September,-999,6.76,,,,,,,,
October,-999,8.13,,,,,,,,
November,-999,5.16,,,,,,,,
December,-999,9.33,,,,,,,,
Total,,74.01,,,,,,,,
,,,,,,,,,,
1840 July-December bracketed = 36.19 inches,,,,,,,,,,
NGR for house although record's elevation of ?200' too low; that elevation nowhere near the house,,,,,,,,,,
