STOKE-ST-MILBOROUGH,,,,,,,,,,
Grid ref,SO570808,Long,-2.6337561,Lat,52.423487,Elevation,600,ft.,,
Station no,2272/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,7
February,,,,,,,,,,3.8
March,,,,,,,,,,2.49
April,,,,,,,,,,1.66
May,,,,,,,,,1.3,2.15
June,,,,,,,,,1.92,2.1
July,,,,,,,,,1.81,3.7
August,,,,,,,,,1.21,3.93
September,,,,,,,,,0.02,4.12
October,,,,,,,,,2.59,7.67
November,,,,,,,,,4.35,5.91
December,,,,,,,,,6.99,4.22
Total,,,,,,,,,,48.75
,,,,,,,,,,
NGR is from the 1950s record sheet. Altitudes match.,,,,,,,,,,
"MIDAS src_id 10079 ends 1979 but places the gauge 220m WSW, did gauge move?",,,,,,,,,,
