OBAN (Adm Otter),,,,,,,,,,
Grid ref,NM852297,Long,-5.483,Lat,56.4113,Elevation,30,ft,,
Station no,5413,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,7.98,12.99,11.84,8.94,7.06,,,,
February,,9.44,5.92,0.73,2.9,2.85,,,,
March,,5.67,3.55,,6.92,2.42,,,,
April,,2.01,2.3,,4.13,2.35,,,,
May,,1.94,3.6,,3.02,4.8,,,,
June,,1.49,9.06,,2.29,2.94,,,,
July,,5.38,5.45,,5.78,2.97,,,,
August,,3.82,6.62,,6.33,7.5,,,,
September,,2.08,7.26,5.52,11.3,3.14,,,,
October,,5.8,7.56,9.62,11.51,4.93,,,,
November,,7.77,7.37,6.71,5.23,4.88,,,,
December,,11.26,4.82,6.24,4.09,6.62,,,,
Total,,64.64,76.5,,72.44,52.46,,,,
