"HELVELLYN (BROWN COVE)",,,,,,,,,,,,
Grid ref,NY333189,Long,-3.032968,Lat,54.560917,,,,,,,
Station no,3633/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,10.50,8.21,5.41,7.37,7.96,6.27,14.06,8.45,5.44,10.75,,
February,10.30,2.89,4.62,7.75,3.46,1.81,10.14,9.20,2.57,12.43,,
March,8.20,6.50,1.24,7.70,3.64,3.66,6.51,1.88,7.33,2.76,,
April,7.00,6.63,6.52,2.33,3.89,2.38,1.85,2.91,7.64,8.32,,
May,4.17,5.94,4.97,7.59,8.63,4.75,4.11,9.01,2.17,3.86,,
June,1.69,4.13,4.75,7.68,6.86,5.67,2.15,6.90,6.15,4.68,,
July,5.71,5.58,12.83,8.68,4.00,8.93,6.46,5.27,8.16,9.47,,
August,10.40,12.37,9.31,9.90,4.61,15.55,9.74,7.13,1.52,5.93,,
September,13.80,8.42,13.78,14.22,6.23,7.62,9.08,10.72,1.30,5.85,,
October,1.54,11.92,5.41,21.52,7.85,5.96,9.75,8.67,11.07,8.26,,
November,24.08,4.59,16.76,24.91,5.71,3.05,4.11,1.57,13.92,23.13,,
December,13.80,6.83,6.03,11.68,11.94,13.76,9.14,8.04,19.51,10.93,,
Total,111.19,84.01,91.63,131.33,74.78,79.41,87.10,79.75,86.78,106.37,,
Calc annual,111.19,84.01,91.63,131.33,74.78,79.41,87.10,79.75,86.78,106.37,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
