"SKYE, ORNSAY",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5756,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,7.13,10.45,3.36,6.76,3.86,3.82,6.35,9.67,7.32,1.63,8.48,
February,8.24,4.02,4.92,3.95,4.17,2.95,3.78,2.54,4.43,1.55,0.63,
March,7.25,8.16,2.69,1.12,0.93,2.00,7.65,4.93,3.32,1.80,2.81,
April,2.68,2.03,2.75,2.39,2.16,2.69,2.55,7.76,2.94,2.23,2.06,
May,3.51,5.51,7.50,4.60,2.58,3.76,3.70,1.56,0.70,3.34,3.22,
June,2.18,2.61,3.19,3.34,4.89,1.92,2.94,2.15,3.28,3.35,4.30,
July,4.93,4.97,3.75,6.16,5.08,1.63,3.49,2.57,6.04,3.99,1.58,
August,3.27,1.84,3.82,6.43,4.14,2.86,6.44,4.30,4.04,6.06,7.27,
September,4.16,5.61,1.94,7.53,7.84,3.29,6.51,5.31,4.11,6.50,3.18,
October,1.52,5.96,2.78,11.18,2.11,4.20,4.35,4.71,6.10,9.59,7.01,
November,5.17,1.49,4.59,6.53,3.96,2.29,5.45,4.42,5.33,6.44,7.53,
December,3.64,7.14,6.38,5.67,4.78,5.20,6.39,0.20,6.85,7.24,5.67,
Total,53.68,59.79,47.67,65.66,46.50,36.61,59.60,50.12,54.46,53.72,53.74,
Calc annual,53.68,59.79,47.67,65.66,46.50,36.61,59.60,50.12,54.46,53.72,53.74,
Difference,-0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,
