ORONSAY LIGHTHOUSE,,,,,,,,,,,,
Grid ref,NG714122,Long,-5.780310,Lat,57.143614,,,,,,,
Station no,5756,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.26,4.48,4.21,5.67,3.05,3.81,6.66,4.11,3.92,1.89,,
February,3.44,3.48,3.69,4.51,1.58,3.48,3.32,3.88,1.64,1.72,,
March,2.99,5.00,2.32,3.98,1.02,2.24,4.71,1.31,1.72,0.66,,
April,4.69,3.14,3.83,1.87,3.95,1.91,1.64,2.88,1.69,2.02,,
May,0.80,2.76,2.61,2.32,1.98,3.92,1.50,4.12,0.83,1.30,,
June,1.87,4.45,0.88,5.00,2.65,1.82,3.20,2.23,2.09,2.47,,
July,7.38,2.41,5.21,4.16,1.21,4.14,4.73,2.65,4.16,1.56,,
August,4.61,4.37,8.10,6.19,1.10,3.95,5.03,4.44,2.30,1.09,,
September,4.93,5.87,5.43,8.53,6.69,3.77,3.15,3.41,2.10,2.11,,
October,3.90,7.99,6.20,9.81,6.41,5.36,6.84,6.28,5.31,0.78,,
November,5.25,3.84,13.59,9.20,2.16,6.24,2.47,2.05,3.29,2.55,,
December,9.95,8.58,5.58,8.25,5.61,7.61,5.14,3.05,3.15,3.55,,
Total,55.07,56.37,61.65,69.49,37.41,48.25,48.39,40.41,32.20,21.70,,
Calc annual,55.07,56.37,61.65,69.49,37.41,48.25,48.39,40.41,32.20,21.70,,
Difference,0.00,-0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
