EARLEY-WOKINGHAM-ROAD,,,,,,,,,,
Grid ref,SU764716,Long,-0.90222935,Lat,51.438254,Elevation,150,ft.,,
Station no,778/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.74,1.84,0.87,1.15,2.15,3.31,1.27,2.92,,
February,4.71,0.71,1.1,2.13,1.27,0.18,2.96,2.57,,
March,3.91,2.03,0.29,2.08,0.9,0.47,1.09,1.46,,
April,3,1.51,2.28,0.25,0.28,1.5,0.33,1.19,,
May,2.45,5.07,1.66,2.45,4.11,0.16,1.08,1.61,,
June,1.17,1.57,1.37,3.89,1.94,1.99,1.82,3.67,,
July,1.79,0.36,3.3,2.48,0.09,2.42,4.13,2.15,,
August,4.37,2.23,1.63,2.49,0.47,4.1,2.2,3.93,,
September,2.91,2.3,2.07,1.75,1.92,2.77,2.67,3.12,,
October,0.6,3.2,2.99,1.8,2.8,1.47,2.14,2.37,,
November,5.94,2.5,0.97,4.52,1.48,0.45,2.18,2.29,,
December,1.73,2.35,0.57,2.34,2.31,3.7,1.87,2.82,,
Total,35.32,25.67,19.1,27.33,19.72,22.52,23.74,30.1,,
,,,,,,,,,,
NGR is from the 1950s record and is on Wokingham Road at the stated altitude,,,,,,,,,,
