PAIGNTON HOLLACOMBE,,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR7910,,,,,,,,,,,
,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,,
January,,,,,,,1.22,6.59,1.81,5.58,,
February,,,,,,,3.82,1.89,2.14,4.97,,
March,,,,,,,3.74,2.90,1.56,0.51,,
April,,,,,,,2.85,4.84,4.73,3.72,,
May,,,,,,,0.54,2.45,4.31,2.61,,
June,,,,,,,1.61,1.23,2.60,7.15,,
July,,,,,,,0.72,2.52,1.96,3.24,,
August,,,,,,,3.43,3.90,4.94,5.19,,
September,,,,,,,5.08,2.12,1.83,3.45,,
October,,,,,,,3.69,2.24,3.23,0.96,,
November,,,,,,,4.68,7.10,3.26,0.26,,
December,,,,,,,9.16,1.87,3.00,1.49,,
Total,,,,,,,40.54,39.65,35.37,39.13,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,40.54,39.65,35.37,39.13,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,,
