"BATH (ISOLATION HOSPITAL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1983,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.51,4.94,5.70,1.95,1.58,2.64,2.38,5.79,0.88,0.45,,
February,2.83,0.36,1.50,0.67,2.78,3.29,0.71,1.29,1.15,5.50,,
March,3.81,1.95,0.95,0.50,1.07,0.72,5.08,1.46,1.39,1.17,,
April,1.39,1.40,0.81,1.71,0.98,2.07,2.38,1.87,1.33,2.12,,
May,1.56,4.69,3.00,0.83,2.55,3.77,2.58,4.14,3.04,2.24,,
June,1.89,0.28,1.58,2.35,4.18,3.54,1.85,1.27,0.37,1.69,,
July,1.63,2.19,2.32,1.74,1.26,0.90,2.38,0.92,1.31,4.78,,
August,5.71,4.36,3.42,2.39,2.96,4.77,0.98,3.16,1.25,4.68,,
September,0.48,1.76,3.45,2.35,2.73,4.11,1.34,2.65,1.41,4.16,,
October,1.72,3.43,3.97,4.56,4.00,0.87,0.33,3.02,6.18,1.36,,
November,1.83,1.54,1.97,5.98,0.17,5.61,1.94,1.21,3.27,5.10,,
December,1.93,4.05,1.63,2.41,3.95,2.59,2.80,3.83,1.66,1.44,,
Total,28.29,30.95,30.30,27.44,28.21,34.88,24.75,30.61,23.24,34.69,,
Calc annual,28.29,30.95,30.30,27.44,28.21,34.88,24.75,30.61,23.24,34.69,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
