"TAMWORTH (SEWAGE PUMPING STATION)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2336/6,,,,,,,,,,,
,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,3.02,2.45,4.34,2.34,1.69,2.05,2.13,4.45,1.19,0.49,,
February,2.22,0.92,0.90,1.69,2.21,3.44,1.11,1.12,0.72,4.23,,
March,1.93,1.67,0.90,0.23,0.72,0.63,5.13,1.01,1.48,1.25,,
April,1.47,1.13,0.88,2.01,1.11,1.31,2.03,1.69,2.31,1.98,,
May,2.57,2.40,3.09,0.63,3.42,1.94,2.07,1.86,2.57,1.15,,
June,1.12,0.09,1.71,1.54,2.72,2.87,1.36,2.56,0.41,1.45,,
July,7.14,1.81,0.77,2.45,1.84,1.43,4.83,1.66,3.70,1.87,,
August,4.14,2.61,1.43,2.61,2.15,6.06,0.50,3.88,1.25,3.17,,
September,0.42,1.26,1.32,3.01,1.13,2.98,1.41,2.62,1.12,3.40,,
October,2.13,2.04,1.65,2.74,3.73,0.74,0.35,2.88,4.92,0.86,,
November,2.52,1.48,1.39,4.13,0.29,5.46,2.02,1.51,2.92,3.43,,
December,1.27,2.31,1.01,1.62,2.19,2.39,1.92,4.01,1.52,1.56,,
Total,29.95,20.17,19.39,25.00,23.20,31.30,24.86,29.25,24.11,24.84,,
Calc annual,29.95,20.17,19.39,25.00,23.20,31.30,24.86,29.25,24.11,24.84,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
