UPPER-CLAPTON-WARWICK-ROAD,,,,,,,,,,
Grid ref,TQ346869,Long,-0.05948205,Lat,51.56492,Elevation,95,ft.,,
Station no,RR7921,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,1.56,1.41,2.06,2.12,1.43,3.38,1.27,1.07,0.74
February,,2.99,1.31,3.4,1.37,2.61,0.59,0.45,0.97,2.17
March,,2.22,1.22,0.91,1.36,1.46,1.15,1.53,3.28,1.5
April,,0.56,2.7,1.62,1.32,2.39,1.17,1.44,2.34,1.94
May,,1.45,1.42,1.89,0.69,2.94,4.47,1.75,0.97,6.18
June,,2.23,2.08,1.36,2.35,1.7,0.49,0.84,3.45,1.9
July,,1.85,3.5,3.09,2.11,1.18,2.72,1.2,4.63,3.47
August,,4.65,1.31,1.14,0.9,1.71,1.05,2.03,3.55,2.47
September,,2.2,3.35,3.86,1.74,4.5,1.62,2.05,0.89,2.2
October,,2.85,5.08,1.89,0.99,3.71,2.36,1.29,1.35,4.11
November,,2.77,2.85,2.83,1.88,3.4,2.6,3.38,4.28,0.95
December,,2.83,2.61,0.87,2.84,1,3.46,1.54,1.13,1.4
Total,,28.16,28.84,24.92,19.67,28.03,25.06,18.77,27.91,29.03
,,,,,,,,,,
NGR is 4 Warwick Road (now Grove). Altitude from OS map.,,,,,,,,,,
"Gauge is noted as moving from No 17 to No 4 in 1883, a move of about 100m SW",,,,,,,,,,
