MAYFIELD-HOUSE-ASHBOURNE-WEEKLY-GAUGE,,,,,,,,,,
Grid ref,SK157448,Long,-1.7675111,Lat,53.000294,Elevation,374,ft.,,
Station no,2367,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,5.6,1.85,1.92,
February,,,,,,,3.99,2.69,2.58,
March,,,,,,,2.73,2.27,2.99,
April,,,,,,,1.55,2.12,2.9,
May,,,,,,,2.78,3.79,3.06,
June,,,,,,,1.78,4.3,2.37,
July,,,,,,,0.75,2.55,3.29,
August,,,,,,,2.29,3.47,3.73,
September,,,,,,,1.27,0.73,2.66,
October,,,,,,,6.55,5.19,1.31,
November,,,,,,,3.42,3.52,2.47,
December,,,,,,,4.32,3.21,2.51,
Total,,,,,,,37.03,35.69,31.79,
,,,,,,,,,,
NOTES,,,,,,,,,,
NGR is from 1940 record and is Mayfield House. Altitudes match. 3 gauges but gauge 2 may actually be two gauges but all gauges are in the same location,,,,,,,,,,
"There are a few duplicated results between the gauge, which are fairly random and probably to be expected given the consistency of readings between the gauges",,,,,,,,,,
