WREXHAM-NANT-Y-FRITH,,,,,,,,,,
Grid ref,SJ265541,Long,-3.098654,Lat,53.079046,Elevation,850,ft.,,
Station no,RR7843,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,2.52,5.59,3.86,2.87,4.22,1.81,6.58,2.63,2.02
February,,2.59,4.11,1.42,2.62,2.2,4.83,3.37,1.21,2.8
March,,1.79,3.8,3.01,1.98,0.74,3.32,3.26,1.27,1.74
April,,3,4.32,1.08,1.4,0.75,3,4.09,1.8,3.56
May,,1.83,2.7,2.51,2.25,2.68,0.3,2.92,6.45,3.3
June,,3.18,5.97,2.16,0.5,2,1.84,1.73,-999,6.34
July,,4.49,6.4,2.33,2.23,5.58,2.02,4.11,-999,5.5
August,,1.53,3.68,3.38,3.47,3.12,3.61,5,5.91,6.5
September,,5.9,7.13,3.84,3.7,5.56,6.54,3.69,2.9,2.78
October,,5,8.11,2.84,4.04,7.07,3.34,3.11,5.45,1.45
November,,1.71,7.18,3.21,5.32,4.34,6.67,4.94,4.07,1.3
December,,2.48,6.29,1.44,4.47,2.02,7.06,2.9,2.3,1.38
Total,,36.02,65.28,31.08,34.85,40.28,44.34,45.7,38.66,38.67
,,,,,,,,,,
"NGR is Nant y Ffrith, which the Kyrke family (observers) owned. Altitudes match.",,,,,,,,,,
