"HOOTON PUMPING STATION",,,,,,,,,,,,
Grid ref,SJ351777,Long,-2.975096,Lat,53.292269,,,,,,,
Station no,2783,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,0.61,1.80,,
February,,,,,,,,,2.34,0.65,,
March,,,,,,,,,2.78,2.22,,
April,,,,,,,,,4.56,2.42,,
May,,,,,,,,,3.40,1.10,,
June,,,,,,,,,2.09,3.69,,
July,,,,,,,,,2.76,3.81,,
August,,,,,,,,,3.13,4.02,,
September,,,,,,,,,3.13,2.64,,
October,,,,,,,,,2.04,4.46,,
November,,,,,,,,,1.98,1.77,,
December,,,,,,,,,1.41,5.46,,
Total,,,,,,,,,30.23,34.04,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.23,34.04,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
