NORWICH-THORPE (HIGH HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG263088,Long,1.3433,Lat,52.6301,Elevation,139,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.67,2.31,3.41,2.15,1.89,1.32,0.85,2.82,2.62,1.18,2.42,2.25,2.97,2.45,1.08,0.17,1.16,2.16,2.17,1.54,2.61,2.74,1.73,1.26,0.92,2.13,1.78,1.03,2.28,1.44,3.46,0.89,1.99,0.98,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,2.2,2.26,1.49,1.55,2.7,0.79,1.71,1.06,2.34,1.13,1.24,3,2.87,1.32,3.54,2.14,3.58,1.82,2.53,0.62,2.34,0.39,0.67,2.09,1.76,0.61,0.04,1.9,2.23,1,0.59,0.54,2.17,1.12,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,2.93,1.39,1.28,2.34,4.39,1.84,1.35,3.45,2.18,1.02,0.54,3.36,2.87,1.42,1.11,0.84,1.53,1.48,2.35,1.38,1.51,1.39,1.95,3.18,1.01,2.7,2,1.05,0.46,0.93,1.78,3.06,2.08,2.04,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,0.32,1.67,2.88,1.98,1.13,0.9,3.18,2.63,1.69,1.33,1.01,3.06,2.28,1.53,2.91,1.74,1.38,3.51,1.98,1.95,1.88,1.62,1.55,1.83,2.1,0.98,1.14,2.08,0.11,1.95,1.31,1.53,1.84,1.01,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.89,1.8,3.39,0.89,2.47,0.67,1.38,2.41,2.16,1.1,1.73,0.69,2.16,4.49,2.6,0.99,0.82,1.99,1.38,1.05,3.15,2.81,2.46,0.95,3.5,1.55,2.94,1.87,1.22,2.88,1.07,0.63,1.04,3.3,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.66,2.83,0.41,0.79,2.46,1.6,2.58,2.66,1.92,2.26,2.09,2.08,2.03,1.51,3.58,3.44,1.7,3.3,3.54,0.57,1.06,0.46,0.66,1.43,1.34,3.06,0.93,3.59,1.81,2.49,0.69,2.24,2.09,3.56,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,4.17,2.26,2.78,0.74,0.81,2.22,2.78,4.1,1.93,1.38,6.32,2.5,3.12,0.73,5.83,4.15,1.52,3.06,2.88,2.92,0.86,4.08,1.12,4.11,3.61,3.62,4.8,2.69,4.02,4.25,3.15,1.13,0.57,1.53,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.63,0.98,1.57,1.95,2.37,2.05,0.82,2.98,2.28,2.02,1.65,1.85,4.32,6.21,5.18,2.42,3.79,2.14,0.67,1.81,0.8,2.33,2.28,2,2.81,2.28,2.95,2.38,2.03,2.31,3.87,1.6,1.49,1.4,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0,3,2.34,2.6,3.25,1.8,5.07,2.8,3.5,3.61,2.79,5.95,3.1,3,3.85,2.57,2.85,3.02,3.13,3.69,4.89,1.52,2.38,2.18,3.35,1,1.14,2.15,1.32,1.62,0.5,3.88,3.55,0.19,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.92,0.72,2.64,2.54,3.53,3.87,1.84,3.45,2.7,1.52,3.83,1.15,1.92,2.11,1.35,5.29,4.01,7.02,3.81,3.68,7.4,3.06,2.95,2,3.32,1.65,3.3,7.69,1.51,2.77,3.72,3.54,0.96,2.48,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,2.03,3.62,0.99,1.83,3.05,1.6,3.34,4.81,1.11,3.02,6.64,2.96,3.01,8.4,2.52,2.19,2.13,3.66,4.17,1.75,3.71,2.77,2.3,2.76,1.41,3.45,1.64,1.31,3.96,2.58,2.5,1.65,1.45,2.75,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,1.22,2.59,2.75,4.35,4.95,4.25,1.41,4.01,0.66,2.63,2.01,3.79,2.73,2.38,0.61,2.28,3.48,4.08,3.13,2.49,1.34,3.82,1.4,1.05,1.23,0.73,2.87,1.15,1.98,2.85,1.65,3.06,1.59,2.15,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,26.64,25.43,25.93,23.71,33,22.91,26.31,37.18,25.09,22.2,32.27,32.64,33.38,35.55,34.16,28.22,27.95,37.24,31.74,23.45,31.55,26.99,21.45,24.84,26.36,23.76,25.53,28.89,22.93,27.07,24.29,23.75,20.82,22.51,22.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
