CHESTER-DICKSONS-DRIVE,,,,,,,,,,
Grid ref,SJ409677,Long,-2.8862366,Lat,53.203072,Elevation,64,ft.,,
Station no,2797/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.9,1.86,3.78,1.43,3.07,3.64,4.34
February,,,,2.33,2.37,0.48,2.3,4.09,0.24,2.36
March,,,,1.89,2.07,1.34,1.52,1.34,1.07,1.55
April,,,,0.82,1.41,2.27,0.69,0.37,2.96,1.23
May,,,,2.78,2.89,0.77,1.91,2.13,1.48,2.11
June,,,,3.53,3.73,2.34,1.53,4.03,4.33,1.33
July,,,,4.13,0.43,5.37,4.86,3.1,2.22,2.97
August,,,,4.4,1.01,7.08,3,4.24,1.32,4.45
September,,,,2.37,2.78,1.85,7.11,4.23,0.14,4.16
October,,,1.33,5.24,1.83,1.87,1.81,2.3,2.04,3.66
November,,,1.99,5.17,1.67,0.92,1.46,2.06,3.93,4.61
December,,,1.31,3.22,2.93,2.36,1.47,2.86,4.17,2.82
Total,,,,37.78,24.98,30.43,29.09,33.82,27.54,35.59
,,,,,,,,,,
"NGR is from the 1950s record and is on Dicksons Drive. Altitudes match, as do relationships to church and station",,,,,,,,,,
MIDAS src_ id 11729 ends 1990,,,,,,,,,,
