LISKEARD-PENMILDER (TREVILLIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX246633,Long,-4.4712,Lat,50.4437,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,2.11,3.26,1.17,7.66,7.62,3.81,3.11,4.92,5.46,2.78,8.06,1.89,2.7,2.75,5.9,1.38,4.6,8.65,1.65,5.33,2.41,2.87,5.57,8.2,8.12,4.4,6.41,4.04,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,0.69,4.77,2.15,4.45,6.45,1.6,1.88,2,7.74,1.57,5.95,2.74,3.54,0.8,5.9,2.79,4.47,1.43,5.8,8.16,7.94,1.79,4.16,6.37,1.05,0.51,4.51,10.94,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,5.5,4.67,1.33,1.39,2.47,3.38,3.01,5.94,3,5.23,1.76,1.25,6.01,6.13,0.96,3.48,6.15,5.09,7.93,0.94,3.97,4.74,2.42,5.78,4.58,3.67,4.38,3.35,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.73,5.32,2.32,3.95,2,3.83,2.17,1.9,1.95,3.3,1.28,6.16,2.96,2.57,2.59,2.32,0.49,5.2,2.01,1.41,1.7,2.17,2,3.33,5.65,0.98,4.8,3.95,4.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.03,1.19,4.77,2.54,2.75,1.86,1.76,3.74,3.13,0.68,3.47,3.46,2.35,1.32,2.9,1.06,2.5,3.89,1.63,2.81,1.83,2.45,0.89,2.16,2.29,2.38,2.34,2.4,3.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.55,2.48,2.48,0.76,4.28,1.68,2.76,1.2,1.71,2.86,1.43,3.02,0.7,3.61,2.67,4.18,5.98,1.42,1.78,1.86,2.21,3.94,1.88,0.85,2.11,0.16,1.56,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,2.25,1.14,0.27,1.81,0.86,0.95,4.21,4.22,5.89,0.41,2.17,2.51,3.03,4.21,4.07,1.13,2.47,0.42,5.87,5.18,1.59,2.01,4.5,1.56,5.54,1.37,5.43,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.2,1.99,5.19,2.79,0.74,3.06,2.9,2.64,4.62,2.87,4.82,3.29,1.8,4.56,1.71,4.96,2.48,11.66,0.6,2.41,1.58,4.59,7.07,3.54,3.74,1.8,3.36,4.25,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1,6.75,4.29,1.57,2.37,1.5,3.97,2.48,3.84,3.25,1.31,1.45,1.46,3.16,1.24,0.36,2.65,1.54,2.81,3.51,1.76,3.11,2.16,7.55,2.76,4.17,1.04,4.15,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,4,4.28,2.15,8.97,4.27,3.29,3.22,3.37,11.41,2.52,2.14,5.17,8.46,2.07,8.37,6.88,4.66,5.69,4.54,2.58,6.18,7.98,6.24,4.26,1.61,6.55,1.7,1.79,7.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,7.61,1.52,2.91,3.48,3.92,5.9,0.7,6.95,3.21,2.95,6.19,3.68,4.29,1.83,1.44,6.58,6.86,4.01,5.83,4.66,3.44,8.33,3.03,4.55,5.66,3.15,6.45,3.74,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,7.31,9.93,8.77,5.58,4.1,6.77,7.31,4.24,6.22,4.09,1.81,4.61,5.97,4.9,6.44,8.21,11.01,7.83,3.62,9.73,10.53,5.12,1.67,8.47,8.25,5.65,3.11,7.9,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,37.33,46.14,36.88,37.96,46.95,35.21,38.58,53.22,44.56,33.1,42.32,43.01,37.81,40.59,51.98,44,57.39,43.5,49.56,49.18,50.78,40.14,49.79,50.27,50.66,29.13,51.26,52.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
