LOCH DAIM,,,,,,,,,,
Grid ref,NN470457,Long,-4.492341,Lat,56.578213,Elevation,1430,ft,,
Station no,5557/4/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.26,4.5,14.85,8.2,,
February,,,,,4,3.6,6.41,3.3,,
March,,,,,1.37,3.56,7.82,1.6,,
April,,,,,3.8,3.55,3.38,3.75,,
May,,,,,4.65,6.9,2.76,5.55,,
June,,,,,3.25,6,3.6,2.9,,
July,,,,,1.1,5.93,5.74,4.3,,
August,,,,,1.57,5.89,6.7,7.6,,
September,,,,,8.37,8.17,5.05,6.55,,
October,,,,,7.24,7.57,11.55,8.9,,
November,,,,,3.65,4.85,2.85,,,
December,,,,,17.19,16.22,11.12,,,
Total,,,,,60.45,76.74,81.83,,,
,,,,,,,,,,
Grid Ref places G in New Water Level,,,,,,,,,,
of Lochan but Elevation is above water level,,,,,,,,,,
OS now called LOCHAN-AN-DAIM,,,,,,,,,,
,,,,,,,,,,
BR 1955 P Fe Mar Est,,,,,,,,,,
BR 1956 P,,,,,,,,,,
BR 1957 P,,,,,,,,,,
,,,,,,,,,,
Station no,5557/4/3,,,,,,,,,
Midas,15131,,,,,,,,,
Hyd Stn,862611,,,,,,,,,
