"LONGRIDGE (JEFFERY HILL) (PRESTON WATER WORKS)",,,,,,,,,,,,
Grid ref,SD669399,Long,-2.504676,Lat,53.854266,,,,,,,
Station no,2981,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.03,4.61,2.50,5.79,3.75,5.04,4.40,4.42,3.50,6.45,,
February,3.55,1.82,1.97,3.35,2.17,1.20,3.40,10.41,1.00,3.26,,
March,5.35,2.71,1.30,2.76,1.90,1.29,4.12,2.03,2.21,1.39,,
April,2.73,3.82,3.65,1.53,3.41,2.05,0.64,1.96,3.08,2.73,,
May,1.96,2.64,3.03,2.55,3.70,2.13,2.09,6.30,2.03,2.54,,
June,1.89,4.59,2.27,4.45,3.75,3.21,2.28,4.74,3.82,1.43,,
July,3.43,2.44,8.07,7.74,1.20,5.01,5.92,4.51,4.33,10.11,,
August,5.19,7.24,5.95,7.35,0.97,14.03,6.17,5.36,0.50,5.74,,
September,3.65,4.64,5.47,7.25,4.12,5.43,9.05,5.66,0.53,3.31,,
October,1.52,3.55,1.81,10.24,3.67,3.71,8.26,4.76,5.31,2.88,,
November,9.85,2.70,5.74,6.60,2.21,2.38,1.60,2.31,5.88,9.77,,
December,11.10,4.87,2.74,6.50,6.19,5.66,6.39,4.08,7.38,5.09,,
Total,55.25,45.63,44.50,66.11,37.04,51.14,54.32,56.54,39.57,54.70,,
Calc annual,55.25,45.63,44.50,66.11,37.04,51.14,54.32,56.54,39.57,54.70,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
