"KINGSTON MIDLAND AGRICULTURAL INST",,,,,,,,,,,,
Grid ref,SK516280,Long,-1.235282,Lat,52.847040,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.88,2.66,0.67,0.78,0.93,,
February,,,,,,0.60,1.82,0.96,0.91,0.55,,
March,,,,,,2.35,1.09,0.98,2.44,2.81,,
April,,,,,,1.23,0.59,1.66,2.33,1.12,,
May,,,,,,0.32,1.58,2.85,1.99,1.20,,
June,,,,,,2.55,2.39,2.61,1.43,2.34,,
July,,,,,,1.00,0.51,2.32,2.60,3.74,,
August,,,,,,2.75,0.74,2.33,2.91,2.55,,
September,,,,,,1.49,0.92,0.57,2.13,2.57,,
October,,,,,,0.85,4.38,3.76,0.97,2.81,,
November,,,,,,2.53,2.52,1.63,1.49,0.56,,
December,,,,,,0.59,2.07,2.42,1.36,4.21,,
Total,,,,,,17.14,21.27,22.76,21.34,25.39,,
Calc annual,0.00,0.00,0.00,0.00,0.00,17.14,21.27,22.76,21.34,25.39,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
