EXFORD-FOXCOMBE,,,,,,,,,,,
Grid ref,SS867387,Long,-3.61989,Lat,51.13647,Elevation,1050,ft,,,
Station no,RR8909,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,5.91,7.16,9.5,7.37,9.87,1.78,9.13
February,,,,,0.79,8.21,4.04,4.66,6.37,1.23,1.56
March,,,,,2.34,1.72,1.58,5.94,4.99,0.48,3.29
April,,,,,4.96,3.48,3.3,2.32,2.19,1.06,3.6
May,,,,,4.86,5.38,3.35,1.3,0.9,4.13,2.25
June,,,,0.92,3.8,0.34,3.4,4.01,3.66,3.4,
July,,,,2.66,6.28,4.09,2.37,5.85,2.56,2.8,
August,,,,4.85,8.36,4.75,4.16,7.12,4.25,4.37,
September,,,,5.67,7.91,5.36,3.57,8.96,1.52,1.48,
October,,,,9.72,7.74,6.76,6.24,5.23,8.49,9.61,
November,,,,6.14,5.15,3.1,11.1,6.51,8.47,14.44,
December,,,,6.55,8,7.09,0.72,3.52,7.08,12.74,
Total,,,,,66.1,57.44,53.33,62.79,60.35,57.52,
,,,,,,,,,,,
1923 May 14 Gauge moved from Withypool 3 miles W,,,,,,,,,,,
1929 Jan 1 Gauge moved 20yds S,,,,,,,,,,,
1930 Moved Station terminated,,,,,,,,,,,
1957 Note House stands on lip of steep coombe which runs away S If gauge S of house it would have been badly o/ex,,,,,,,,,,,
