HUDDERSFIELD (OAKES NO.4),,,,,,,,,,,
Grid ref,SE113177,Long,-1.830499,Lat,53.655675,Elevation,762,ft,,,
Station no,3203,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,-999,2.7,4.47,3.61,3.12,8.98,1.32,
February,,,,-999,1.39,4.76,3.02,1.04,5.18,0.35,
March,,,,-999,1.3,1.36,1.48,3.77,2.52,0.49,
April,,,,-999,1.8,2.68,1.56,3.06,1.03,1.23,
May,,,,-999,4.73,4.01,3.79,1.45,2,2.22,
June,,,,-999,2.11,0.06,2.79,3.28,5.1,0.89,
July,,,,5.14,3.08,0.96,3.28,2.35,1.23,1.79,
August,,,,3.31,2.72,2.9,3.54,5.24,4.13,3.02,
September,,,,2.68,3.73,2.27,2.43,5.24,0.39,1.02,
October,,,,3.63,4.23,4.87,4.24,3.89,4.65,3.91,
November,,,,6.23,2.1,2.17,4.31,4.34,5.67,6.73,
December,,,,2.74,4.58,5.13,1.33,2.56,2.11,7.65,
Total,,,,40.98,34.47,35.64,35.38,39.34,42.99,30.62,
,,,,,,,,,,,
ERROR_TYRain_1920-1930_22_pt1-page-063.csv Jan-June all bracketed together,,,,,,,,,,,
