HUDDERSFIELD (OAKES) NEW G. NEW SITE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE113177,Long,-1.830499,Lat,53.655675,Elevation,762,ft,,,,,,,,,,,,
Station no,3203,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,2.72,,,,,,4.87,,,,
February,,,,,,,,,,3.08,,,,,,6.01,,,,
March,,,,,,,,,,2.72,,,,,,2.06,,,,
April,,,,,,,,,,3.06,,,,,,1.62,,,,
May,,,,,,,,,,,,,,,,2.04,,,,
June,,,,,,,,,,,,,,,,2.74,,,,
July,,,,,,,,,,,,,,,,4.34,,,,
August,,,,,,,,,,,,,,,,4.42,,,,
September,,,,,,,,,,,,,,,,5.58,,,,
October,,,,,,,,,,,,,,,,1.1,,,,
November,,,,,,,,,,,,,,,,7.15,,,,
December,,,,,,,,,,,,,,,,2.85,,,,
Total,,,,,,,,,,,,,,,,44.78,,,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1-page-009.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_21_pt1-page-164.csv,,,,,,,,,,,,,,,,,,,,
