HUDDERSFIELD OAKES NO.2,,,,,,,,,,,
Grid ref,SE113177,Long,-1.830499,Lat,53.655675,Elevation,762,ft,,,
Station no,3204,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,5.22,3.58,2.36,2.79,4.48,3.71,3.34,8.51,1.28,5.12
February,,0.23,3.86,5.27,1.24,4.75,3.09,1.03,5.6,0.37,0.86
March,,2.66,2.63,2.15,1.36,1.42,1.2,3.5,2.3,0.48,3.11
April,,1.07,3.67,2.58,2.18,3.03,1.37,3.16,1.19,1.46,2.48
May,,1.56,1.54,4.01,4.93,4.22,3.92,1.55,2.12,2.42,1.58
June,,0.18,2.41,0.9,2.16,0.09,2.8,3.5,5.42,0.96,2.23
July,,1.23,4.76,4.97,3.31,1.02,3.48,2.38,1.34,1.96,5.72
August,,4.64,5.96,3.5,2.85,3.22,3.64,5.57,4.59,3.1,4.87
September,,1.45,3.5,2.85,3.86,2.48,2.47,5.46,0.52,1.08,5.36
October,,2.27,1.02,3.82,4.29,4.88,4.01,3.23,4.4,4.18,4.91
November,,1.96,1.99,6.07,2.15,2.26,4.1,4.51,5.4,6.89,4.08
December,,6.07,4.01,2.77,4.66,4.6,1.4,2.52,2.05,7.49,2.52
Total,,28.54,38.93,41.25,35.78,36.45,35.19,39.75,43.44,31.67,42.84
,,,,,,,,,,,
TYRain_1920-1930_22_pt1-page-066.csv,,,,,,,,,,,
