HUGGATE RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SE882555,Long,-0.656,Lat,53.988,Elevation,490,ft,,,,,,,,,,,,
Station no,RR302,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861
January,3.37,1.00,2.02,0.50,3.12,2.25,1.87,2.37,2.62,2.37,3.60,3.00,2.00,0.75,2.75,3.50,0.75,1.25,4.25,4.50
February,0.50,2.00,0.75,0.25,0.75,1.00,4.12,0.72,1.25,1.12,1.50,2.02,0.50,1.12,2.25,1.00,0.50,1.87,1.50,2.37
March,1.75,0.91,0.25,0.50,2.25,1.50,4.87,1.00,1.00,3.62,0.50,1.37,1.00,0.87,0.37,2.25,0.25,1.62,2.75,2.37
April,0.00,2.75,0.50,2.37,7.50,2.00,2.00,3.12,3.00,2.37,0.12,1.50,0.37,0.50,4.00,2.75,2.75,1.85,1.00,0.87
May,3.25,3.50,0.75,3.87,1.50,5.37,1.12,3.00,1.12,1.50,1.87,1.75,3.12,1.37,4.02,0.37,2.50,0.37,4.00,1.09
June,1.75,3.50,1.75,4.00,2.00,3.00,6.87,1.05,2.50,3.25,4.00,3.00,2.25,2.37,1.50,2.50,1.25,1.87,4.00,2.87
July,3.50,3.75,2.50,3.00,5.00,1.37,2.50,4.75,4.00,2.62,1.25,2.42,3.35,5.12,4.37,3.87,3.87,2.02,2.25,2.25
August,1.50,2.25,2.00,7.37,1.00,1.50,4.50,1.51,2.12,3.75,3.37,1.25,1.25,2.37,4.00,6.75,3.25,4.37,2.37,1.13
September,2.50,0.50,2.25,3.87,,1.75,3.50,2.50,2.00,2.37,6.00,1.50,1.25,0.37,4.06,2.37,2.50,4.00,3.40,4.12
October,2.01,5.02,2.00,3.25,5.25,2.37,6.50,2.75,3.00,2.25,4.37,3.12,1.62,4.25,2.50,1.00,3.50,2.00,2.37,1.00
November,3.50,3.00,2.25,1.75,2.25,2.85,2.00,2.50,2.50,2.37,5.12,3.37,3.00,2.25,2.50,1.50,2.00,2.25,3.12,5.87
December,1.00,0.12,0.12,4.00,2.37,5.25,2.75,4.50,1.25,1.12,2.50,2.50,2.00,2.37,2.00,0.25,2.00,2.87,1.12,3.75
Total,24.63,28.30,17.14,34.73,,30.21,42.60,29.77,26.36,28.71,34.20,26.80,21.71,23.71,34.32,28.11,25.12,26.34,32.13,32.19
,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1/110,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/214,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/164,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"# NGR is the rectory in Huggate where the observer Reverend Thomas Rankin, who was vicar/curate at Huggate church, and is quoted as living in the rectory.",,,,,,,,,,,,,,,,,,,,
# The quoted elevation (650ft) does not match; the quoted elevation is that for the rectory from OS maps.,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,
"# Sep 1846 has two readings of 5.62 and 0.62 and annual totals of 38.61 and 33.61, not all in the original hand.",,,,,,,,,,,,,,,,,,,,
"# These readings have been deleted because of the doubt. 5.62 looks very unlikely given nearby observations, but too much uncertainty.",,,,,,,,,,,,,,,,,,,,
