BOVEY-TRACEY-GREY-TIMBERS,,,,,,,,,,
Grid ref,SX804773,Long,-3.690707,Lat,50.583152,Elevation,210,ft,,
Station no,1734,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.66
February,,,,,,,,,,7.46
March,,,,,,,,,,3.95
April,,,,,,,,,,3.5
May,,,,,,,,,,2.61
June,,,,,,,,,,1.59
July,,,,,,,,,,3.85
August,,,,,,,,,2.81,4.4
September,,,,,,,,,0.1,7.68
October,,,,,,,,,4.43,10.62
November,,,,,,,,,10.4,7.26
December,,,,,,,,,11.91,5.65
Total,,,,,,,,,,64.23
,,,,,,,,,,
This is very near Bovey Tracey Blenheim House and Bovey Tracey Edymead,,,,,,,,,,
,,,,,,,,,,
MIDAS has a location within 150yds of Grey Timbers which might be a continuation,,,,,,,,,,
NO elevation on sheet but elevation matches MIDAS,,,,,,,,,,
Post 1960 BOVEY TRACEY SRC_ID 8385 ,,,,,,,,,,
1961-1967,,,,,,,,,,
