SWIMBRIDGE-THE-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SS618300,Long,-3.97307,Lat,51.05282,Elevation,170,ft,,,,,,,,,,,,
Station no,1837/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,3.46,3.33,5.37,7.51,3.2,3.42,4.31,3.49,7.43,1.92,
February,,,,,,,,,,4.14,4.44,0.5,3.23,0.9,4.06,3.97,0.45,1.62,1.78,
March,,,,,,,,,,2.99,3.25,2.69,1.44,0.2,1.63,0.82,6.17,1.41,2.44,
April,,,,,,,,,,3.27,1.29,1.91,1.32,2.24,1.14,2.28,2.78,2.15,2.33,
May,,,,,,,,,,2.15,2.41,5.3,3.69,0.98,4.31,4.07,1.88,2.88,3.34,
June,,,,,,,,,,0.7,1.21,0.43,2.42,3.85,3.44,4.32,3.12,2.97,,
July,,,,,,,,,,5.2,2.27,4.09,3.2,2.43,4.45,3.16,2.41,2.52,,
August,,,,,,,,,,0.42,5.44,3.62,3.38,3.46,2.24,6.02,0.67,5.45,,
September,,,,,,,,,,2.93,0.46,4.42,5.12,4.11,2.28,5.69,2.03,2.54,,
October,,,,,,,,,3.12,3.66,3.2,3.84,4.33,6.6,4.83,2.31,1.74,5.62,,
November,,,,,,,,,9.15,7.15,1.86,1.24,4.21,8.24,0.81,6.09,4.49,3.26,,
December,,,,,,,,,3.38,4.16,3.99,5.11,2.76,4.96,6.28,4.95,3.66,5.08,,
Total,,,,,,,,,,40.23,33.15,38.52,42.61,41.17,38.89,47.99,32.89,42.93,,
,,,,,,,,,,,,,,,,,,,,
NGR matches distance to church and house but given elevation of 250ft too high,,,,,,,,,,,,,,,,,,,,
"1940 Aug slightly unclear, but total edited",,,,,,,,,,,,,,,,,,,,
1949 June Moved to Stn No 1831/7 Morchard Bishop Rectory,,,,,,,,,,,,,,,,,,,,
