HEPWORTH (SPRINGHEAD) (A) - OLD SITE,,,,,,,,,,
Grid ref,SE179068,Long,-1.731261,Lat,53.557521,Elevation,1180,ft,,
Station no,3182/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,3.1,4.1,,,
February,,,,,,2.74,4.9,,,
March,,,,,,2.65,3.05,,,
April,,,,,,1.55,2.8,,,
May,,,,,,1.35,3.1,,,
June,,,,,,5.2,1.25,,,
July,,,,,,3.9,2.35,,,
August,,,,,,1.3,1,,,
September,,,,,,4.1,1.6,,,
October,,,,,,4.25,,,,
November,,,,,6.35,5.2,,,,
December,,,,,2.45,4.25,,,,
Total,,,,,,39.59,,,,
,,,,,,,,,,
"Complete record, station discontinued. Gauge moved to new site 3182/3",,,,,,,,,,
