KINGSWOOD-THE-CHASE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ255563,Long,-0.2015,Lat,51.29241,Elevation,550,ft,,,,,,,,,,,,
Station no,77/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,3.92,2.68,1.38,1.5,3.2,4.47,2.23,2.85,3,3.25
February,,,,,,,,,,,7.73,1.03,1.62,2.62,2.02,0.42,4.18,2.49,0.12,2.41
March,,,,,,,,,,1.54,3.88,3.59,0.44,2.62,1.52,0.88,1.35,1.82,2.74,2.03
April,,,,,,,,,,3.54,3.58,1.67,2.67,0.3,0.33,1.69,0.25,1.28,2.7,0.75
May,,,,,,,,,,1.75,2.66,1.42,2.18,3.05,4.68,0.45,1.55,2.92,0.74,1.73
June,,,,,,,,,,1.39,1.1,1.48,1.88,4.3,2.34,2.92,0.89,4.48,2.41,1.3
July,,,,,,,,,,3.35,2.81,0.79,4.51,3.51,1.14,5.85,3.18,1.92,1.2,3.46
August,,,,,,,,,,2.4,4.68,2.78,1.77,3.34,1.19,3.29,3.64,2.78,1.21,3.8
September,,,,,,,,,,3.35,3.34,2.97,3.6,2.25,2.06,3.19,3.43,6.02,0.24,3.34
October,,,,,,,,,,0.46,1.26,3.6,3.84,2.48,3.96,1.42,1.97,3.64,3.07,6.37
November,,,,,,,,,,6.79,7.69,3.49,1.8,5.65,1.29,0.84,3.09,2.4,3.63,5.39
December,,,,,,,,,,2.38,3.32,2.67,0.71,2.18,2.75,4.34,2.65,3.75,5.7,3.33
Total,,,,,,,,,,,45.97,28.17,26.4,33.8,26.48,29.76,28.41,36.35,26.76,37.16
,,,,,,,,,,,,,,,,,,,,
Little Birches The Chase Kingswood,,,,,,,,,,,,,,,,,,,,
1950 Jan Feb Marked as estimated Station starts during Feb,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SRC_ID 6605,,,,,,,,,,,,,,,,,,,,
1950-1966,,,,,,,,,,,,,,,,,,,,
