"BLACKWOOD",,,,,,,,,,,,
Grid ref,ST172974,Long,-3.198688,Lat,51.669250,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,1.81,,1.65,,
February,,,,,,,,1.31,3.15,1.00,,
March,,,,,,,,3.15,4.85,5.47,,
April,,,,,,,,,3.15,3.79,,
May,,,,,,,,,3.03,1.91,,
June,,,,,,,,5.22,1.56,2.34,,
July,,,,,,,,3.70,3.81,2.91,,
August,,,,,,,,4.38,6.00,1.87,,
September,,,,,,,,1.25,4.42,3.67,,
October,,,,,,,,7.00,2.81,10.30,,
November,,,,,,,,,3.02,2.39,,
December,,,,,,,,,4.48,6.00,,
Total,,,,,,,,,,43.30,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.82,40.28,43.30,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
