PORTMADOC (WERN NO.2) ,,,,,,,,,,
Grid ref ,SH534398 ,Long ,-4.182739,Lat ,52.935522,Elevation,180,ft,,
Station no ,M4384/9,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January ,,,,,,,,,,
February ,,,,,,,,,,
March ,,,,,,,,,,1.73
April ,,,,,,,,,,2.74
May ,,,,,,,,,,1.56
June ,,,,,,,,,,1.56
July ,,,,,,,,,,5
August ,,,,,,,,,,4.75
September ,,,,,,,,,,6.99
October ,,,,,,,,,,5.06
November ,,,,,,,,,,10.41
December ,,,,,,,,,,6.35
Total ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
TYRain_1951-1960_24_pt1-page-285.csv added,,,,,,,,,,
