BERROW-HOMESTEAD,,,,,,,,,,
Grid ref,ST297523,Long,-3.00855,Lat,51.26564,Elevation,26,ft,,
Station no,2025/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,1.7,2.55,1.7,2.1,0.76,3.22,4.67,3.01,4.72,2.5
February,1.8,0.07,3.9,0.42,2.2,2.24,3.98,0.83,1.34,1.96
March,0.86,2.08,2.24,2.11,0.76,2.25,3.58,0.18,1.11,2.18
April,2.28,2.41,1.68,2.58,4.19,2.52,2.8,0.08,2.82,2.33
May,3.8,3.54,1.53,1.08,2.26,0.85,1.95,1.56,0.94,2.63
June,4.42,0.7,1.64,0.57,2.14,2.35,0.78,0.79,2.03,0.77
July,4.25,,1.33,0.79,0.5,4.95,4.22,2.3,3.57,3.73
August,4,1.3,1.8,3.39,1.78,0.35,0.75,4.09,3.25,0.09
September,1.92,4.3,2.46,2.35,5.47,3.25,1.79,2.07,1.05,2.26
October,0.67,5.5,3.84,3.24,4.68,2.34,3.47,4.58,2.27,4.26
November,3.84,2.05,0.64,1.2,5.87,3.21,2.55,3.28,5.29,6.45
December,1.12,,1.14,7.88,2.14,2.03,1.64,3.74,2.34,2.07
Total,30.66,,23.9,27.71,32.75,29.56,32.18,26.51,30.73,31.23
,,,,,,,,,,
Data received 1941,,,,,,,,,,
1932 July Dec Estimated from surrounding stations,,,,,,,,,,
Elevation taken from OS map,,,,,,,,,,
