MORETONHAMPSTEAD-BLACKINGSTONE-(NEW-GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX790851,Long,-3.712,Lat,50.6539,Elevation,1158,ft,,,,,,,,,,,,,,,,,
Station no,1751,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,5.64,5.52,2.71,6.76,3.34,6.24,3.35,4.32,0.82,7.13,9.09,5.16,7.4,,6.97,4.68,10.46,2.66,2.65,,,,,
February,,4.76,3.23,2.32,2.24,2.96,0.06,3.92,0.29,3.62,6.12,6.52,1.4,1.9,5.54,5.9,0.48,2.06,0.67,2.54,,,,,
March,,3.52,5.13,0.23,3.25,2.38,2.67,4.18,3.8,1.53,5.58,6.06,0.14,2.03,3.12,4.48,3.43,1.72,0.17,0.98,,,,,
April,,1.92,2.14,0.75,3.61,4.56,2.64,1.56,3.59,4.52,2.35,5.08,0.2,3.02,4.03,1.26,1.98,1.24,2.52,0.78,,,,,
May,,0.27,1.07,2.82,1.4,4.05,3.64,2.52,1.88,2.43,1.35,2.8,3.39,0.72,2.07,2.68,8.54,4.21,,4.14,,,,,
June,,2.23,2.21,2.6,0.57,2.84,3.32,2.63,1.86,4.58,1.35,1.52,1.46,3.18,0.88,2.44,0.56,0.98,,3.02,,,,,
July,,4.74,1.68,1.66,2.14,4.74,3.01,2.26,1.12,0.53,8.61,0.98,4.3,7.28,4.73,0.75,1.75,2.43,2.6,3.31,,,,,
August,,3.56,2.18,1.94,5.8,5.05,2.65,2.05,3.66,2.35,0.2,1.43,6.03,3.25,0.24,4.24,4.25,2.86,4.16,2.67,,,,,
September,,5.34,1.62,0.68,6.48,1.97,4.48,2.08,2.69,4.31,3.76,2.15,1.94,1.07,1.47,0.87,3.44,4.12,2.97,3.53,,,,,
October,,2.28,5.88,6.4,4.78,0.9,7.63,3.98,2.95,4.22,1.28,3.88,3.95,6.12,5.6,2.11,3.26,5.16,5.52,4.78,,,,,
November,11.11,3.78,5.32,12.3,7.3,9.96,2.71,1.54,2.53,6.48,4.61,2.9,6.68,8.85,8.4,3.71,1.19,2.84,7.09,1.34,,,,,
December,0.67,4.76,5.13,11.16,4.68,1.77,3.46,2.82,13.96,6.07,6.58,4.43,5.79,2.03,3.64,3.97,7.61,3.58,3.65,7.48,,,,,
Total,,42.8,41.11,45.57,49.01,44.52,42.51,32.89,42.65,41.46,48.92,46.84,40.44,46.85,,39.38,41.17,41.66,,37.22,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Replacement gauge 5in diameter,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan estimated from nearby stations,,,,,,,,,,,,,,,,,,,,,,,,,
1944 May June estimated. Gauge watertight but loss due to fence being too close – to be moved,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Readings still low,,,,,,,,,,,,,,,,,,,,,,,,,
