BLACK-MOUNTAINS-CNAPIAU,,,,,,,,,,
Grid ref,SO241347,Long,-3.1071303,Lat,52.005526,Elevation,1585,ft.,,
Station no,4207/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,9.33,8.81
February,,,,,,,,,0.42,8.38
March,,,,,,,,,4.27,4.07
April,,,,,,,,,5.32,4.87
May,,,,,,,,,4.98,1.78
June,,,,,,,,,2.51,3.18
July,,,,,,,,4.13,4.38,4.67
August,,,,,,,,4.04,2.13,4.36
September,,,,,,,,8.12,0.62,
October,,,,,,,,5.93,4.78,
November,,,,,,,,2.86,7.85,11.38
December,,,,,,,,5.12,11.42,6.84
Total,,,,,,,,,58.01,
,,,,,,,,,,
NGR is from the 1950s record and is on Cnapiau. Altitudes match.,,,,,,,,,,
MIDAS src_id 10670 continues to 1983.,,,,,,,,,,
"MIDAS NGR, SO240344, places the gauge 300m S slightly W about 65 ft. higher altitude; did gauge move?",,,,,,,,,,
