KINGS-LYNN-BURLINGHAM (GAYWOOD-ROSEBERY-ROAD),,,,,,,,,,
Grid ref,TF637207,Long,0.42446737,Lat,52.759105,Elevation,25,ft,,
Station no,RR8015,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,2.64,1.57,2.59,1.05,2.92,,
February,,,,0.53,1.24,2.34,4.08,0.75,,
March,,,,2.5,2.8,1.28,3.42,1.03,,
April,,,,1.97,0.86,0.64,1.44,1.85,,
May,,,,1.96,1.02,1.65,1.84,0.62,,
June,,,,1.39,2.1,1.25,2.15,1.97,,
July,,,,1.25,1.74,3.81,2.08,1.46,,
August,,,,0.32,2.01,2.01,4.86,4.7,,
September,,,,2.1,0.67,0.82,1.47,1.59,,
October,,,,3.91,1.49,1.2,2.05,,,
November,,,,1.7,2.58,3.42,2.55,,,
December,,,,0.36,5.15,4.11,2.96,,,
Total,,,,20.63,23.23,25.12,29.95,,,
