NEWBURY-WASH-HILL-OBSERVER-MARSHALL-OLD-GAUGE,,,,,,,,,,,
Grid ref,SU463654,Long,-1.3360417,Lat,51.385764,Elevation,385,ft.,,,
Station no,795,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.65,2.02,3.98,2.66,5.12,3.44,5.62,1.63,4.96
February,,,2.86,5.22,0.38,4.75,2.25,5.22,2.32,0.83,0.73
March,,,2.88,2.83,1.67,0.72,0.74,4.12,3.45,0.17,1.17
April,,,3.53,3.24,3.68,2.79,3.38,2.1,2.38,1.03,2.68
May,,,1.09,1.5,5.02,4.27,2.56,1.88,1.59,1.85,2.15
June,,,1.42,0.31,3.03,0.03,2.65,2.98,2.68,1.26,1.21
July,,,5.43,1.81,5.47,3.16,2.01,4.03,1.97,1.2,2.13
August,,,3.68,2.53,1.95,2.5,1.42,3.44,1.7,0.98,3.12
September,,,1.77,2.28,5.02,3.19,1.08,6.53,1.76,0.66,3.26
October,,,1.24,6.03,4.21,3.79,2.89,2.41,5.16,3.73,1.97
November,,,2,2.48,3.3,2.69,6.76,3.76,3.39,9.1,4.56
December,,,3.93,3.91,5.42,3.56,0.63,4.61,3.01,8.51,3.41
Total,,,33.48,34.16,43.13,34.11,31.49,44.52,35.03,30.95,31.35
,,,,,,,,,,,
NOTES,,,,,,,,,,,
"NGR is on Wash Hill at about the correct altitude. There are two observers with overlapping records and the locations have different station numbers, which suggests that are at different locations but not possible to determine where. NGR probably +/- 200m.",,,,,,,,,,,
