BRUSHES-RESERVOIR-6-INCH-GAUGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ992991,Long,-2.0135254,Lat,53.488611,Elevation,615,ft.,,,,,,,,,,,,,
Station no,2752,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,3.1,5.88,3.53,3.29,2.41,4.3,4.75,6.28,2.96,3.58,3.1,2.77,3.41,4.11,9.57,1.66,5.11
February,,,,,2.21,3.79,5.01,0.69,5.36,1.08,4.2,0.39,5.05,4.62,0.96,5.98,3.21,1.56,5.02,0.95,0.51
March,,,,,5.09,1.63,2.44,1.54,1.38,6.04,2.53,2.97,2.6,1.93,1.32,1.8,1.56,4.84,1.7,1.25,2.54
April,,,,,1.48,1.5,2.6,1.54,1.64,2.62,4.65,1.86,3.19,3.16,1.84,2.23,2.07,3.93,1.1,1.73,2.88
May,,,,,2.38,1.75,2.91,3.65,2.72,1.99,6.56,2.16,1.5,3.8,5.68,4.3,4.88,1.21,0.99,2.96,1.99
June,,,,,3.79,2.8,4.83,1.84,1.83,2.03,3.22,0.38,3.01,1.17,2.74,0.05,3.54,5.2,7.15,1.46,3.56
July,,,,,4.22,4.99,2.16,2.33,4.72,2.31,7.79,1.63,5.02,5.41,4.18,2.2,2.38,4.82,2.15,3.31,7.11
August,,,,,3.39,5.15,2.62,5.93,3.87,3.26,2.89,5.22,5.47,4.53,5.95,3.66,4.95,5.83,5.99,5.4,5.24
September,,,,,2.58,0.91,2.72,2.74,9.75,2.05,2.68,1.06,4.15,4.32,3.45,4.01,3.25,6.63,0.9,1.86,4.19
October,,,,,2.61,1.78,5.42,5.78,3.25,2.89,1.14,2.68,1.01,4.54,5.97,5.17,3.83,3.45,3.96,5.24,5.38
November,,,,,4,3.12,3.04,3.96,1.73,3.38,1.39,2.04,2.96,6.16,1.91,3.47,4.11,4.08,6.02,8.27,4.73
December,,,,,5.55,6.16,3.07,1.96,7.9,6.31,2.84,5.71,4.56,3.73,3.84,3.25,1.94,0.85,2.83,6.81,2.68
Total,,,,,40.4,39.46,40.35,35.25,46.56,38.26,44.64,32.38,41.48,46.95,40.94,38.89,39.13,46.51,47.38,40.9,45.92
,,,,,,,,,,,,,,,,,,,,,
NGR is below the dam to Brushes Reservoir where the filter house is likely to be. Altitudes match. NGR on 1950s record is unclear but does not seem to be near the reservoir.,,,,,,,,,,,,,,,,,,,,,
