"TRAWSFYNYDD (TYN TWLL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,4330,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,18.40,4.10,15.70,
February,,,,,,,,,12.70,2.20,0.90,
March,,,,,,,,,6.50,3.60,4.50,
April,,,,,,,,,2.70,1.60,3.70,
May,,,,,,,,,1.50,5.90,4.90,
June,,,,,,,,,17.00,6.40,4.30,
July,,,,,,,,,6.70,5.90,7.30,
August,,,,,,,,,8.90,13.90,9.80,
September,,,,,,,,,1.90,4.20,5.40,
October,,,,,,,,,13.90,13.40,17.20,
November,,,,,,,,,17.40,17.60,7.40,
December,,,,,,,,,7.60,11.50,9.10,
Total,,,,,,,,,115.20,90.30,90.20,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.20,90.30,90.20,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,
