COCKBURNSPATH (REDHEUGH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT822699,Long,-2.286396,Lat,55.92185,Elevation,288,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5094/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.15,4.4,1.42,3.86,2.91,2.65,1.2,3.73,0.99,3.24,6.84,0.99,0.78,3.45,1.01,0.6,2.13,1.87,2.61,2.39,1.71,0.98,4.37
February,,,,,,,,0.62,2.07,1.41,4.75,1.4,1.08,1.19,1.85,0.83,2.16,1.42,0.6,2.18,2.57,0.42,0.81,2.65,1.51,2.49,3.61,2.24,0.23,2
March,,,,,,,,0.46,2.31,2.82,2.36,1.03,1.58,0.61,0.48,2.16,6.89,0.55,0.83,1.82,3.44,1.26,0.13,1.63,1.45,0.96,1.83,4.01,0.76,1.37
April,,,,,,,,0.37,1.06,1.66,1.42,1.22,0.93,2.12,1.01,0.42,2.61,1.14,0.96,2,2.41,1.97,1.97,0.92,0.31,0.72,0.39,1.98,2.17,1.19
May,,,,,,,,3.4,0.94,2.03,1.82,2.82,2.97,2.05,4.2,2.16,3.54,1.56,1.75,2.06,3.27,2.34,2.16,3.64,1.52,0.39,0.83,2.29,0.43,1.87
June,,,,,,,,2.35,1.65,0.32,1.42,0.98,1.67,1.86,1.73,2.76,1.75,3.06,1.23,1.42,0.92,2.57,1.51,2.88,0.96,2.45,0.98,3.87,1.38,0.77
July,,,,,,,,2.42,2.93,10.89,2.24,1.46,1.28,2.2,2.19,2.28,1.67,1.62,2.61,2.32,3.5,0.9,2.22,1.32,1.52,3.51,3.62,4.75,1.34,3.42
August,,,,,,,,1.56,1.55,0.68,3.48,1.89,3.81,3.18,4.26,5.94,0.23,9.32,1.83,1.97,2.96,3.45,1.8,5.57,0.45,8.31,4.49,4.24,0.5,3.08
September,,,,,,,,2.78,1.84,1.79,0.66,1.95,1.87,4.93,2.12,3.79,1.12,2.09,1.29,3.07,0.99,2.03,2.73,2.11,1.02,4.35,2.04,1.92,0.51,2.33
October,,,,,,,,4.03,5.71,4.04,3.76,2.12,1.86,2.16,4.02,0.68,1.14,2.75,4.79,1.67,0.23,3.39,1.59,4.09,1.99,1.08,1.44,1.27,1.81,6.05
November,,,,,,,,3.79,3.27,3.92,3.33,0.48,1.61,4.36,0.79,6.45,2.34,1.37,3.15,4.78,7.35,2.91,2.08,3.5,1.73,0.6,1,0.66,3.87,2.7
December,,,,,,,,3.63,1.23,1.87,0.42,1.6,1.13,2,2.32,2.52,1.95,2.39,2.03,1.74,1.38,2.59,1.9,1.68,3.96,2.66,3.23,5.8,5.7,2.48
Total,,,,,,,,28.56,28.96,32.85,29.52,19.86,22.44,27.86,28.7,30.98,28.64,34.11,22.06,25.81,32.47,24.84,19.5,32.12,18.29,30.13,25.85,34.74,19.68,31.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Continues today as REDHEUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
