BIRMINGHAM (PHIL:INST:),,,,,,,,,,,,,,,,,,,,
Grid ref,SP070869,Long,-1.8975,Lat,52.4802,Elevation,490,ft,,,,,,,,,,,,
Station no,RR2756,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,3.23,0.7,1.37,2.76,1.99,2.03,1.75,1.38,1.5,,,,
February,,,,,,,,3.14,2.07,2.04,2.03,1.27,1.29,2.75,3.09,0.8,,,,
March,,,,,,,,1.17,0.69,1.86,0.15,2.14,2.69,1.01,2.65,1.31,,,,
April,,,,,,,,1.89,1.8,1.63,0.48,1.46,0.55,1.94,0.37,0.99,,,,
May,,,,,,,,1.08,2.34,0.52,2.38,2.01,2.49,3.91,0.24,1.88,,,,
June,,,,,,,,1.88,2.08,4.47,2.05,2.06,1.11,2.6,0.55,2.97,,,,
July,,,,,,,1.73,2.11,2.76,4.26,2.36,2.47,2.77,1.75,1.89,4.54,,,,
August,,,,,,,1.67,3.99,1.91,2.66,2.11,3.3,1.66,3.12,2.26,4.53,,,,
September,,,,,,,2.16,1.98,1.69,2.67,1.68,4.71,2.99,0.73,2.03,2.71,,,,
October,,,,,,,2.38,2.6,1.98,2.35,0.98,3.1,0.89,4.14,2.44,1.58,,,,
November,,,,,,,4.19,,3.15,3.79,4.1,2.29,4.5,2.77,2.79,2.84,,,,
December,,,,,,,1.3,,1.34,1.79,0.36,3.8,0.8,0.24,0.41,3.3,,,,
Total,,,,,,,,,22.51,29.41,21.44,30.6,23.77,26.71,20.1,28.95,,,,
,,,,,,,,,,,,,,,,,,,,
Established in first decade of 1800s with premises in  Cannon Street.,,,,,,,,,,,,,,,,,,,,
Became the Birmingham and Midland Institue in 1954 in new premises next to the Town Hall.,,,,,,,,,,,,,,,,,,,,
"NGR Cannon Street, northern end, highest in elevation",,,,,,,,,,,,,,,,,,,,
