"HUNSTANTON",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1452,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,1.89,0.84,2.50,1.75,3.65,1.65,1.44,
February,,,,,0.78,1.67,1.59,1.95,1.31,0.53,0.69,
March,,,,,0.43,1.40,0.45,1.52,1.20,0.22,1.35,
April,,,,,1.58,2.11,1.46,1.97,1.06,0.56,1.76,
May,,,,1.24,3.20,2.48,1.69,0.63,1.26,1.13,2.17,
June,,,,0.52,1.17,0.35,1.98,3.50,2.46,1.07,0.83,
July,,,,1.58,1.60,1.51,1.31,1.78,1.52,2.27,3.54,
August,,,,1.52,1.12,2.37,1.25,3.50,1.74,0.71,2.50,
September,,,,2.34,2.10,2.73,0.76,2.50,0.27,0.48,2.86,
October,,,,3.04,4.25,1.61,2.12,1.92,2.57,2.22,0.70,
November,,,,2.33,1.87,2.37,2.56,2.41,2.52,3.41,2.21,
December,,,,2.61,1.39,1.76,0.38,1.33,2.12,3.58,1.58,
Total,,,,,21.38,21.20,18.05,24.76,21.68,17.83,21.63,
Calc annual,0.00,0.00,0.00,15.18,21.38,21.20,18.05,24.76,21.68,17.83,21.63,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,
