KINGSBRIDGE-BURTON-(SOUTH-HUISH),,,,,,,,,,
Grid ref,SX682407,Long,-3.85,Lat,50.2518,Elevation,220,ft,,
Station no,RR1076,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.36,3.15,,,,,
February,,,,3.73,1.42,,,,,
March,,,,0.39,1.56,,,,,
April,,,,0.98,2.14,,,,,
May,,,,1.64,2.31,,,,,
June,,,,0.72,2.11,,,,,
July,,,,3.95,3.83,,,,,
August,,,,1.55,3.55,,,,,
September,,,,1.92,2.64,,,,,
October,,,3.11,3.11,4.49,,,,,
November,,,1.75,2.07,5.83,,,,,
December,,,0.74,3.71,3.46,,,,,
Total,,,,25.13,36.49,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1892 Sept Gauge moved ½mile NW from Burton Estate,,,,,,,,,,
1895 Jan 1st Gauge moved ¾mile NE,,,,,,,,,,
,,,,,,,,,,
Unknown where this gauge was,,,,,,,,,,
Distances and altitude position it in middle of nowhere,,,,,,,,,,
