DEVONPORT-QUEEN-ST,,,,,,,,,,,,,,,,,,,,
Grid ref,SX450548,Long,-4.1809,Lat,50.3729,Elevation,118,ft,,, ,,,,,,,,,
Station no,RR1713,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,2.73,3.13,,,,,,,5.54,3.91,,,,,,
February,,,,,3.43,2.98,,,,,,,1.33,1.76,,,,,,
March,,,,,3.47,0.85,,,,,,,1.4,0.89,,,,,,
April,,,,,0.83,2.18,,,,,,,0.78,2.72,,,,,,
May,,,,,0.07,0.88,,,,,,,1.86,1.35,,,,,,
June,,,,,1.13,2.25,,,,,,,3.92,1.47,,,,,,
July,,,,,1.54,2.19,,,,,,,0.86,1.47,,,,,,
August,,,,,2.17,2.81,,,,,,,2.18,1.69,,,,,,
September,,,,,1.11,4,,,,,,,1.66,2.68,,,,,,
October,,,,,2.89,1.37,,,,,,,3.76,4.91,,,,,,
November,,,,,6.69,4.45,,,,,,,8.14,3.34,,,,,,
December,,,,,2.04,2.72,,,,,,,7.57,1.84,,,,,,
Total,,,,,28.1,29.81,,,,,,,39,28.03,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
These may not be connected records. ,,,,,,,,,,,,,,,,,,,,
"There is no observer or altitude on the first sheet, so only information is gauge was in Devonport",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
The observer for the 1850s was a T Lancaster,,,,,,,,,,,,,,,,,,,,
There are 2 possible T Lancasters according to the 1851 census,,,,,,,,,,,,,,,,,,,,
"Thomas Lancaster was a jeweler at 56 Queen St, and was there from 1830s onward",,,,,,,,,,,,,,,,,,,,
Thomas Lancaster was a land surveyor in 4 Queen St and also there in the 1840s,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
118ft altitude includes the 38ft above ground noted on sheet. ,,,,,,,,,,,,,,,,,,,,
If this is accurate this NGR is the only part of Queen Street that is around 80ft altitude,,,,,,,,,,,,,,,,,,,,
