DROXFORD-STUDWELL-LODGE,,,,,,,,,,
Grid ref,SU606181,Long,-1.13853,Lat,50.9591,Elevation,270,ft,,
Station no,703/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.8
February,,,,,,,,,,3.43
March,,,,,,,,,,2
April,,,,,,,,,,1.32
May,,,,,,,,,,1.16
June,,,,,,,,,,2.99
July,,,,,,,,,,4.78
August,,,,,,,,,,4.07
September,,,,,,,,,,5.11
October,,,,,,,,,,8.36
November,,,,,,,,,,6.21
December,,,,,,,,,,4.33
Total,,,,,,,,,,47.56
,,,,,,,,,,
1960 Moved from Mortimer Berks Stn No 791,,,,,,,,,,
NGR taken from MIDAS as NGR on sheet too far SE and elevation too low,,,,,,,,,,
Gauge oversheltered,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Droxford SRC_ID 7538,,,,,,,,,,
1960-1975,,,,,,,,,,
