"HORSHAM CHRISTS HOSPITAL",,,,,,,,,,,,
Grid ref,TQ150289,Long,-0.360799,Lat,51.047948,,,,,,,
Station no,467,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,4.77,1.40,5.10,1.11,1.73,1.07,,
February,,,,,3.32,0.65,2.55,1.18,0.89,0.33,,
March,,,,,1.08,3.70,1.22,0.80,2.34,3.44,,
April,,,,,1.35,1.57,0.64,3.91,2.49,1.35,,
May,,,,,3.83,0.48,1.59,2.13,2.23,1.43,,
June,,,,,0.78,4.51,1.76,1.62,2.35,2.79,,
July,,,,,0.80,0.47,0.37,0.96,2.23,2.22,,
August,,,,,1.70,3.23,0.93,1.85,4.22,3.13,,
September,,,,,1.84,1.76,1.30,0.52,1.04,3.25,,
October,,,,,1.88,1.36,4.40,5.44,2.20,6.42,,
November,,,,,1.31,5.09,5.13,2.40,0.95,1.00,,
December,,,,,3.22,0.68,2.11,2.92,3.59,4.32,,
Total,,,,,25.88,24.90,27.10,24.84,26.26,30.75,,
Calc annual,0.00,0.00,0.00,0.00,25.88,24.90,27.10,24.84,26.26,30.75,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,,
