BLACK-MOUNTAINS-THE-DAM-GRWYNE-FAWR-4A,,,,,,,,,,,,,,,,,,,,
Grid ref,SO232314,Long,-3.1194987,Lat,51.975738,Elevation,2150,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,1.14,,6.14,2.81,4.29,2.49,,4.74,4.75,3.62,4.97,3.74,3.49,4.99,3.45,4.37,5.91,,
February,,2.42,,2.33,5.31,8.68,,1.81,2.97,3.38,1.96,0.43,5.74,10.76,0.73,5.25,3.33,3.42,,
March,,2.73,7.75,8.43,,1.25,,,2.81,6.82,5.59,4.94,3.95,2.16,1.6,0.86,1.05,4.67,,
April,,2.49,0.38,5.74,1.62,1.96,2.13,,3.56,3.83,6.22,0.87,3.61,3.79,4.5,3.41,3.99,1.98,,
May,,2.58,2.39,4.49,2.49,5.86,5.01,5.81,3.62,0.69,3.27,1.71,0.99,3.08,5.93,4.22,3.27,2.38,,
June,,4.19,5.21,1.93,3.65,1.72,2.7,3.5,1.18,2.39,4.66,0.36,2.44,0.83,2.96,0,3.28,5.25,,
July,,1.04,6.29,1.17,6.1,6.68,1.75,3.3,6.67,2.06,7.92,1.97,5.23,3.27,6.53,4.67,4.7,4.59,,
August,,3.64,11.78,3.28,3.65,5.25,2.94,11.95,6.41,2.95,2.2,5.65,4.82,3.85,6.38,4.85,4.6,8.17,,
September,,4.42,1.9,3.57,2.36,1.04,3.14,3.58,7.8,2.37,5.16,2.67,2.99,3.81,8.95,3.9,2.21,9.32,,
October,,4.15,5.21,8.44,5.16,6.54,8.33,6.29,2.82,2.62,6.7,2.03,1.09,7.47,6.53,6.31,4.2,6.63,,
November,,5.87,2.77,5.82,6.51,3.42,,2.29,3.83,2.49,2.2,3.49,1.6,2.53,4.17,3.24,9.8,5.31,,
December,,10.03,7.61,2.64,,9.48,3.3,1.9,6.86,5.67,5.3,3.63,4.94,3.88,7.35,4.57,1.26,3.39,,
Total,,44.7,,53.98,,56.17,,,53.27,40.02,54.8,32.72,41.14,48.92,60.62,44.73,46.06,61.02,,
,,,,,,,,,,,,,,,,,,,,
"NGR is at stated altitude above the Gwyne Fawr Dam. Gauge moved 300 yards in July 1911, no direction given altitudes was 30 ft lower at 2120. NGR could be +/-500m or could be other side of dam, 1.2km SW.",,,,,,,,,,,,,,,,,,,,
