BLACK-MOUNTAINS-THE-DAM-GRWYNE-FAWR-4AB,,,,,,,,,,
Grid ref,SO232314,Long,-3.1194987,Lat,51.975738,Elevation,2150,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,5.16,5.65,3.13,4.44,2.9,2.52,,
February,,,4.11,2.43,5.96,9.51,,1.81,,
March,,,8.45,7.84,,1.28,,5.63,,
April,,,0.45,5.71,1.71,2.05,2.25,4,,
May,,,2.45,4.08,2.48,,4.94,5.76,,
June,,,5.29,2.08,3.74,1.74,2.78,3.56,,
July,,,6.34,1.18,6.12,6.84,1.78,3.47,,
August,,,,3.21,3.48,5.33,2.95,12.27,,
September,,4.45,1.96,3.82,2.44,1.02,3.18,3.64,,
October,,4.81,5.33,8.64,5.06,7.06,8.33,6.66,,
November,,6.77,3.34,5.97,6.98,3.16,5.95,2.68,,
December,,10.7,7.85,2.73,9.13,10.08,3.58,1.91,,
Total,,,,53.34,,,,53.91,,
,,,,,,,,,,
NGR is as 4A there is a note that gauges are together. NGR could be +/- 500m or possibly 1.2km SW,,,,,,,,,,
