COCKERMOUTH THE GOAT,,,,,,,,,,
Grid ref,NY117306,Long,-3.3704279,Lat,54.662719,Elevation,150,ft,,
Station no,RR8859,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,6,,2.13,1,,2.63,,
February,,,,7.38,4.12,,2.5,7.62,,
March,,1.25,,,3.13,,4,4.63,,
April,,2.38,3.5,3.5,2.75,2.38,3.38,1.62,,
May,,2.25,1.63,0.37,1.62,,0.81,,,
June,,1.62,2.87,1.5,0.88,,2.75,,,
July,,1.75,4.5,2.13,1.44,,4.12,,,
August,,3.13,4.5,4.75,1,2.62,2.75,,,
September,,,3.5,4.62,3.87,1.56,3.5,,,
October,,2.5,7,2.19,6,5.5,4.63,,,
November,,3.12,8,6.5,,1.63,4.5,,,
December,,0.63,0.88,1.88,,,2.19,,,
Total,,,,,,,,,,
,,,,,,,,,,
No locational information on record; NGR for Crown Street just up from Low Sand Lane; observer Dr Dodgson lived in Crown St in 1871,,,,,,,,,,
