NORTHAMPTON-GENERAL-HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP762604,Long,-0.885575,Lat,52.236528,Elevation,258,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.93,0.64,3.9,3.52,0.65,2.03,1.48,2.04,2.71,3.69,2.61,2.21,3.5,1.07,2.08,1.11,2.81,2.02,3.13,1.3,2.6,1.09,1.54,1.15,1.46,0.9,4.03,3.56,2.38,5.21,2.24,3.44,2.66,3.68,1.5,1.95,1.71,1.54,3.51,0.74,0.65,2.28,1.69,1.65,0.88,2.1,3.81,,2.77,4.1,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,2.47,1.02,1.76,0.67,1.27,2.22,4.25,1.1,0.97,2.92,0.64,0.32,1.94,4.01,0.47,2.75,2.94,2.83,1.82,0.55,0.55,1.98,0.21,2.11,0.45,2.32,2.05,3.35,0.79,0.93,2.11,1.82,0.76,1.1,1.09,1.55,2.09,1.72,0.86,1.05,3.63,3.02,0.5,1.7,2,1.57,0.56,,3.33,0.03,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,0.69,1.62,2.4,2.69,2.32,0.91,5.75,1.69,0.52,3.77,2.32,0.72,1.59,1.76,0.73,0.48,0.64,1.85,1.61,0.03,1.54,0.11,1.35,2.51,1.55,0.25,1.34,2.84,0.15,1.52,1.75,3.1,1.49,0.88,0.12,0.94,1.33,4.92,0.85,1.56,0.79,3.24,2.33,0.88,2.33,2.09,0.86,,2.02,3.15,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.21,0.72,0.07,2.29,0.61,0.59,1.17,1.44,3,2.24,5.12,1.07,3.26,1.84,2.85,1.68,3.09,1.39,1.2,1.53,2.01,3.35,2.36,0.56,1.81,3.66,1.86,2.57,0.01,2.2,2.48,1.54,0.71,0.75,1.79,0.95,1.55,1.77,1.33,1.55,1.86,2.75,2.17,1.87,0.29,0.79,1.01,,0.75,2.22,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.77,2.56,1.84,1.48,0.88,1.74,1.55,1.75,2.1,1.07,1.3,1.3,1.23,0.95,3.82,2.26,2.83,0.8,1.04,1.27,2.8,2.26,4.85,1.31,0.64,1.08,1.2,4.33,1.47,1.38,1.84,2.33,3,1.97,1.18,1.95,2.57,1.06,3.23,2.55,2.45,2.27,2.78,1.17,3.32,4.79,0.27,,2.03,0.33,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,0.87,1.06,2.8,0.58,2.57,0.22,1.68,1.43,0.43,0.67,1.99,0.3,1.36,0.48,1.54,0.02,1.84,3.45,2.35,0.89,1.27,1.48,0.62,2.69,0.69,5.48,2.95,1.41,1.09,1.87,1.54,1.3,1.21,1.88,2.74,2.36,2.73,1.04,2.15,0.28,1.68,,0.95,1.82,2.48,3.39,3.12,,4.27,0.82,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.8,0.38,3.08,1.09,2.27,3.26,2.05,2.18,2.4,2.87,2.88,0.4,3.82,2.48,2.99,2.61,1.55,2.85,2.84,1.79,2.47,2.89,3.25,1.36,1.76,0.57,4.89,1.55,1.53,2.81,4.43,3.1,2.32,0.91,2.24,2.16,1.15,2.2,1.08,1.25,3.19,,0.45,2.89,2.69,0.19,4.87,,2.28,2.13,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.18,1.02,6.76,0.52,1.43,2.62,2.66,5.34,0.94,2.27,0.85,1.74,5.11,1.56,2.02,1.57,1.29,3.44,1.63,0.92,2.09,3.16,2.07,0.85,1.71,1.83,0.38,0.74,3.91,4.45,0.14,4.69,1.79,1.69,2.51,1.51,3.98,0.03,3.17,1.34,1.65,,3.78,2.47,3.19,0.37,4.83,,3.08,0.83,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.52,0.96,1.08,1.63,0.88,1.64,0.78,1.76,3.88,1.42,1.76,1.08,2.16,2.63,2.74,3.47,1.55,4.63,1.11,0.5,3.35,2.54,2.41,1.46,2.02,4.23,3.31,1.69,1.88,0.66,0.98,0.21,1.21,1.65,2.85,2.78,4.27,1.06,2.58,1.34,3.76,,2.4,1.26,2.06,1.44,1.89,,2.6,0.03,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.56,1.69,2.36,3.42,1.89,1.44,2.39,2.99,1.07,1.42,1.08,1.09,0.74,3.55,3.48,3,2.2,1.7,3.85,2.82,1.04,0.37,3.22,1.71,1.18,3.37,1.7,3.02,2.68,6.52,2.69,2.43,2.92,2.07,3.29,3.75,1.31,0.32,3.47,4.92,0.86,,3,2.1,2.11,1.71,1.3,,2.23,1.71,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
