GARTHBIBIO-LLUESTFAWR-DAILY,,,,,,,,,,
Grid ref,SH974089,Long,-3.5186527,Lat,52.668068,Elevation,990,ft.,,
Station no,RR2669,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.09,,,,,,,,,
February,5.45,,,,,,,,,
March,4.65,,,,,,,,,
April,2.96,,,,,,,,,
May,2.54,,,,,,,,,
June,3.46,,,,,,,,,
July,7.36,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,,,,,,,,,,
November,,,,,,,,,,
December,,,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is a place called Lluest SW of Gathbibio. The 1868 British Rainfall report has a map that implies the gauge is about 50° 40' N and 3° 46' W, which is consistent with the NGR used.",,,,,,,,,,
