GARTHBIBIO-LLUESTFAWR-MAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH974089,Long,-3.5186527,Lat,52.668068,Elevation,990,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,-999,7,,5.8,-999,10.3,-999,6.2,6.6,3.6,8.5,3.6,-999,0.7,0.9,6.7,,,,,,,
February,,,,,,,,-999,7.1,,5.8,-999,6.4,-999,3.4,-999,10.4,-999,2.3,-999,4.7,-999,3.8,,,,,,,
March,,,,,,,,-999,9.3,,4.7,2.6,3.6,3.9,4.6,-999,5.1,-999,4.6,4,4.6,-999,6.2,,,,,,,
April,,,,,,,,8,2.1,,2.3,5.9,3.1,2.1,2.3,2.2,3.6,4.2,5.2,1.8,2.9,1.6,4.6,,,,,,,
May,,,,,,,,3.2,2.7,,3.7,1.2,3.9,3.8,2.3,3.8,1.2,4.4,8.4,1.5,2.6,6.5,2.9,,,,,,,
June,,,,,,,,1.6,0.7,,2.2,2.8,7.6,1.6,1.6,5.2,2.1,3.7,4.5,5.8,3.5,3.2,6.4,,,,,,,
July,,,,,,,,6.9,1.2,,1.2,7.5,4.3,5.2,3.6,4.8,2,4.5,1.2,8.2,7.1,2.9,7.5,,,,,,,
August,,,,,,,,-999,5.1,,2.6,4,5.4,7.8,9.2,4.2,6.8,7.3,3.7,8.7,3,7.3,5.4,,,,,,,
September,,,,,,,,-999,2.4,,5.4,4.8,10.4,5.2,5.3,7.1,7.3,3.7,8.5,6.3,2.9,2.5,4.3,,,,,,,
October,,,,,,,,-999,7.8,4.4,12.9,8.4,7.4,8.3,7.2,7.6,6.4,5.8,5.8,3.3,5.7,-999,6.5,,,,,,,
November,,,,,,,,-999,4.4,7,5.9,1.8,9.6,5.2,9.1,9.1,7.2,9.7,4.2,1,8.6,-999,13.7,,,,,,,
December,,,,,,,,-999,12.4,3.4,4.5,3.4,7.6,3.4,9.8,3.2,9.2,5.8,3.8,5.8,8,5.4,8.1,,,,,,,
Total,,,,,,,,58.9,62.2,,57,53.8,79.6,65.1,64.6,58.4,64.9,66.7,55.8,53.8,54.3,52,76.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is a place called Lluest SW of Gathbibio. The 1868 British Rainfall report has a map that implies the gauge is about 50deg 40' N and 3deg 46' W, which is consistent with the NGR used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Combined readings are Oct to Dec 1866 = 18.33?, Jan to Mar 1867 = 16.4, Aug - Sep 1867 = 84, Oct - Dec 1867 = 14.8, Feb- Mar 18881 =11.9 and Oct - Nov = 9.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
