WEM-CLIVE-SCHOOL,,,,,,,,,,
Grid ref,SJ516240,Long,-2.7194996,Lat,52.811361,Elevation,420,ft.,,
Station no,RR2016,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,0.71,,,,
May,,,,,,1.74,,,,
June,,,,,,2.75,,,,
July,,,,,,7.19,,,,
August,,,,,,2.85,,,,
September,,,,,,0.85,,,,
October,,,,,,4.82,,,,
November,,,,,,3.44,,,,
December,,,,,,0.59,,,,
Total,,,,,,,-999,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
NGR is a school on the side of a hill in Clive; the sheet notes the school sits on a hill that rises suddenly and this is the only hill in the area. The stated altitudes seems low by 50 ft or so.,,,,,,,,,,
