WELSHPOOL-THE-COTTAGE,,,,,,,,,,
Grid ref,SJ247051,Long,-3.1141782,Lat,52.638399,Elevation,482,ft.,,
Station no,RR8036,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.86,,,,,,,,,
February,3.7,2.83,,,,,,,,
March,0.75,1.39,,,,,,,,
April,2.99,1.22,,,,,,,,
May,2.26,,,,,,,,,
June,,,,,,,,,,
July,3.13,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,
October,3.67,,,,,,,,,
November,4.74,,,,,,,,,
December,,4.62,,,,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
NGR is Leighton Hall grounds where the altitudes match. Could be +/- 300m.,,,,,,,,,,
One of the named observers is the same as Leighton Hall; hence the assumption that the gauge is near the hall.,,,,,,,,,,
